n_features,mean_test_score,std_test_score
1,0.7274010663771399,0.047491727294708165
2,0.7237353633216888,0.05254124646006734
3,0.7238518591278398,0.052532322980631124
4,0.7238518591278398,0.052532322980631124
5,0.7238518591278398,0.052532322980631124
6,0.7238518591278398,0.052532322980631124
7,0.7238518591278398,0.052532322980631124
8,0.7238518591278398,0.052532322980631124
9,0.7238518591278398,0.052532322980631124
10,0.7238518591278398,0.052532322980631124
11,0.7238518591278398,0.052532322980631124
12,0.7238518591278398,0.052532322980631124
13,0.7238518591278398,0.052532322980631124
14,0.7238518591278398,0.052532322980631124
15,0.7238518591278398,0.052532322980631124
16,0.7238518591278398,0.052532322980631124
17,0.7238518591278398,0.052532322980631124
18,0.7238518591278398,0.052532322980631124
