sample type,classifier,result 1,result 2,feature set 1,feature set 2,scoring metric,mean 1,mean 2,mean difference,std difference,result 1 better folds,result 2 better folds,tied folds
daily,Logistic Regression,LogisticRegression base,LogisticRegression all candidates,base,all candidates,balanced accuracy,0.79,0.816,-0.026,0.028,1,4,0
daily,Logistic Regression,LogisticRegression base,LogisticRegression positive permutation,base,positive permutation,balanced accuracy,0.79,0.825,-0.035,0.029,1,4,0
daily,Logistic Regression,LogisticRegression base,LogisticRegression rfecv selected,base,rfecv selected,balanced accuracy,0.79,0.82,-0.03,0.028,1,4,0
daily,Logistic Regression,LogisticRegression base,LogisticRegression select from model,base,select from model,balanced accuracy,0.79,0.801,-0.011,0.044,2,3,0
daily,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression hourly activity,activity rhythm,hourly activity,balanced accuracy,0.583,0.687,-0.103,0.058,0,5,0
daily,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression six hour bins,activity rhythm,six hour bins,balanced accuracy,0.583,0.719,-0.136,0.076,0,5,0
daily,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression full,activity rhythm,full,balanced accuracy,0.583,0.831,-0.248,0.045,0,5,0
daily,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression all candidates,activity rhythm,all candidates,balanced accuracy,0.583,0.816,-0.232,0.039,0,5,0
daily,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression positive permutation,activity rhythm,positive permutation,balanced accuracy,0.583,0.825,-0.241,0.038,0,5,0
daily,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression rfecv selected,activity rhythm,rfecv selected,balanced accuracy,0.583,0.82,-0.236,0.04,0,5,0
daily,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression select from model,activity rhythm,select from model,balanced accuracy,0.583,0.801,-0.217,0.048,0,5,0
daily,Logistic Regression,LogisticRegression hourly activity,LogisticRegression six hour bins,hourly activity,six hour bins,balanced accuracy,0.687,0.719,-0.032,0.053,2,3,0
daily,Logistic Regression,LogisticRegression hourly activity,LogisticRegression full,hourly activity,full,balanced accuracy,0.687,0.831,-0.145,0.037,0,5,0
daily,Logistic Regression,LogisticRegression hourly activity,LogisticRegression all candidates,hourly activity,all candidates,balanced accuracy,0.687,0.816,-0.129,0.03,0,5,0
daily,Logistic Regression,LogisticRegression hourly activity,LogisticRegression positive permutation,hourly activity,positive permutation,balanced accuracy,0.687,0.825,-0.138,0.034,0,5,0
daily,Logistic Regression,LogisticRegression hourly activity,LogisticRegression rfecv selected,hourly activity,rfecv selected,balanced accuracy,0.687,0.82,-0.133,0.03,0,5,0
daily,Logistic Regression,LogisticRegression hourly activity,LogisticRegression select from model,hourly activity,select from model,balanced accuracy,0.687,0.801,-0.114,0.029,0,5,0
daily,Logistic Regression,LogisticRegression six hour bins,LogisticRegression full,six hour bins,full,balanced accuracy,0.719,0.831,-0.112,0.065,0,5,0
daily,Logistic Regression,LogisticRegression six hour bins,LogisticRegression all candidates,six hour bins,all candidates,balanced accuracy,0.719,0.816,-0.097,0.05,0,5,0
daily,Logistic Regression,LogisticRegression six hour bins,LogisticRegression positive permutation,six hour bins,positive permutation,balanced accuracy,0.719,0.825,-0.106,0.051,0,5,0
daily,Logistic Regression,LogisticRegression six hour bins,LogisticRegression rfecv selected,six hour bins,rfecv selected,balanced accuracy,0.719,0.82,-0.101,0.05,0,5,0
daily,Logistic Regression,LogisticRegression six hour bins,LogisticRegression select from model,six hour bins,select from model,balanced accuracy,0.719,0.801,-0.082,0.072,0,5,0
daily,Logistic Regression,LogisticRegression full,LogisticRegression all candidates,full,all candidates,balanced accuracy,0.831,0.816,0.016,0.017,3,2,0
daily,Logistic Regression,LogisticRegression full,LogisticRegression positive permutation,full,positive permutation,balanced accuracy,0.831,0.825,0.007,0.017,3,2,0
daily,Logistic Regression,LogisticRegression full,LogisticRegression rfecv selected,full,rfecv selected,balanced accuracy,0.831,0.82,0.012,0.017,3,2,0
daily,Logistic Regression,LogisticRegression full,LogisticRegression select from model,full,select from model,balanced accuracy,0.831,0.801,0.031,0.019,4,1,0
daily,Logistic Regression,LogisticRegression all candidates,LogisticRegression positive permutation,all candidates,positive permutation,balanced accuracy,0.816,0.825,-0.009,0.003,0,5,0
daily,Logistic Regression,LogisticRegression all candidates,LogisticRegression rfecv selected,all candidates,rfecv selected,balanced accuracy,0.816,0.82,-0.004,0.0,0,5,0
daily,Logistic Regression,LogisticRegression all candidates,LogisticRegression select from model,all candidates,select from model,balanced accuracy,0.816,0.801,0.015,0.026,4,1,0
daily,Logistic Regression,LogisticRegression positive permutation,LogisticRegression rfecv selected,positive permutation,rfecv selected,balanced accuracy,0.825,0.82,0.005,0.003,4,0,1
daily,Logistic Regression,LogisticRegression positive permutation,LogisticRegression select from model,positive permutation,select from model,balanced accuracy,0.825,0.801,0.024,0.028,4,1,0
daily,Logistic Regression,LogisticRegression rfecv selected,LogisticRegression select from model,rfecv selected,select from model,balanced accuracy,0.82,0.801,0.019,0.026,4,1,0
daily,Decision Tree,DecisionTreeClassifier base,DecisionTreeClassifier activity rhythm,base,activity rhythm,balanced accuracy,0.736,0.605,0.131,0.082,5,0,0
daily,Decision Tree,DecisionTreeClassifier base,DecisionTreeClassifier hourly activity,base,hourly activity,balanced accuracy,0.736,0.686,0.051,0.035,4,1,0
daily,Decision Tree,DecisionTreeClassifier base,DecisionTreeClassifier six hour bins,base,six hour bins,balanced accuracy,0.736,0.719,0.017,0.056,2,3,0
daily,Decision Tree,DecisionTreeClassifier base,DecisionTreeClassifier full,base,full,balanced accuracy,0.736,0.721,0.016,0.034,3,2,0
daily,Decision Tree,DecisionTreeClassifier base,DecisionTreeClassifier all candidates,base,all candidates,balanced accuracy,0.736,0.724,0.013,0.034,2,3,0
daily,Decision Tree,DecisionTreeClassifier base,DecisionTreeClassifier positive permutation,base,positive permutation,balanced accuracy,0.736,0.724,0.013,0.034,2,3,0
daily,Decision Tree,DecisionTreeClassifier base,DecisionTreeClassifier rfecv selected,base,rfecv selected,balanced accuracy,0.736,0.746,-0.009,0.018,2,3,0
daily,Decision Tree,DecisionTreeClassifier base,DecisionTreeClassifier select from model,base,select from model,balanced accuracy,0.736,0.72,0.016,0.031,2,2,1
daily,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier hourly activity,activity rhythm,hourly activity,balanced accuracy,0.605,0.686,-0.081,0.055,0,5,0
daily,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier six hour bins,activity rhythm,six hour bins,balanced accuracy,0.605,0.719,-0.114,0.09,0,5,0
daily,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier full,activity rhythm,full,balanced accuracy,0.605,0.721,-0.116,0.079,0,5,0
daily,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier all candidates,activity rhythm,all candidates,balanced accuracy,0.605,0.724,-0.119,0.08,0,5,0
daily,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier positive permutation,activity rhythm,positive permutation,balanced accuracy,0.605,0.724,-0.119,0.08,0,5,0
daily,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier rfecv selected,activity rhythm,rfecv selected,balanced accuracy,0.605,0.746,-0.141,0.083,0,5,0
daily,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier select from model,activity rhythm,select from model,balanced accuracy,0.605,0.72,-0.115,0.084,0,5,0
daily,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier six hour bins,hourly activity,six hour bins,balanced accuracy,0.686,0.719,-0.034,0.058,2,3,0
daily,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier full,hourly activity,full,balanced accuracy,0.686,0.721,-0.035,0.048,1,4,0
daily,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier all candidates,hourly activity,all candidates,balanced accuracy,0.686,0.724,-0.038,0.05,1,4,0
daily,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier positive permutation,hourly activity,positive permutation,balanced accuracy,0.686,0.724,-0.038,0.05,1,4,0
daily,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier rfecv selected,hourly activity,rfecv selected,balanced accuracy,0.686,0.746,-0.06,0.042,1,4,0
daily,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier select from model,hourly activity,select from model,balanced accuracy,0.686,0.72,-0.034,0.052,2,3,0
daily,Decision Tree,DecisionTreeClassifier six hour bins,DecisionTreeClassifier full,six hour bins,full,balanced accuracy,0.719,0.721,-0.001,0.04,3,2,0
daily,Decision Tree,DecisionTreeClassifier six hour bins,DecisionTreeClassifier all candidates,six hour bins,all candidates,balanced accuracy,0.719,0.724,-0.005,0.049,3,2,0
daily,Decision Tree,DecisionTreeClassifier six hour bins,DecisionTreeClassifier positive permutation,six hour bins,positive permutation,balanced accuracy,0.719,0.724,-0.005,0.049,3,2,0
daily,Decision Tree,DecisionTreeClassifier six hour bins,DecisionTreeClassifier rfecv selected,six hour bins,rfecv selected,balanced accuracy,0.719,0.746,-0.027,0.058,2,3,0
daily,Decision Tree,DecisionTreeClassifier six hour bins,DecisionTreeClassifier select from model,six hour bins,select from model,balanced accuracy,0.719,0.72,-0.001,0.053,3,2,0
daily,Decision Tree,DecisionTreeClassifier full,DecisionTreeClassifier all candidates,full,all candidates,balanced accuracy,0.721,0.724,-0.003,0.01,1,1,3
daily,Decision Tree,DecisionTreeClassifier full,DecisionTreeClassifier positive permutation,full,positive permutation,balanced accuracy,0.721,0.724,-0.003,0.01,1,1,3
daily,Decision Tree,DecisionTreeClassifier full,DecisionTreeClassifier rfecv selected,full,rfecv selected,balanced accuracy,0.721,0.746,-0.025,0.04,1,4,0
daily,Decision Tree,DecisionTreeClassifier full,DecisionTreeClassifier select from model,full,select from model,balanced accuracy,0.721,0.72,0.001,0.014,2,1,2
daily,Decision Tree,DecisionTreeClassifier all candidates,DecisionTreeClassifier positive permutation,all candidates,positive permutation,balanced accuracy,0.724,0.724,0.0,0.0,0,0,5
daily,Decision Tree,DecisionTreeClassifier all candidates,DecisionTreeClassifier rfecv selected,all candidates,rfecv selected,balanced accuracy,0.724,0.746,-0.022,0.043,2,3,0
daily,Decision Tree,DecisionTreeClassifier all candidates,DecisionTreeClassifier select from model,all candidates,select from model,balanced accuracy,0.724,0.72,0.004,0.008,1,0,4
daily,Decision Tree,DecisionTreeClassifier positive permutation,DecisionTreeClassifier rfecv selected,positive permutation,rfecv selected,balanced accuracy,0.724,0.746,-0.022,0.043,2,3,0
daily,Decision Tree,DecisionTreeClassifier positive permutation,DecisionTreeClassifier select from model,positive permutation,select from model,balanced accuracy,0.724,0.72,0.004,0.008,1,0,4
daily,Decision Tree,DecisionTreeClassifier rfecv selected,DecisionTreeClassifier select from model,rfecv selected,select from model,balanced accuracy,0.746,0.72,0.026,0.039,3,2,0
