sample type,classifier,feature set,feature,zero proportion,corr with inactive ratio,is high inactive,is high corr with inactivity,is inactivity related
daily,Decision Tree,manual full,mean activity 9,0.062,-0.189,False,False,False
daily,Decision Tree,manual full,mean activity 11,0.06,-0.189,False,False,False
daily,Decision Tree,manual full,activity evening,0.055,-0.328,False,False,False
daily,Decision Tree,manual full,day night ratio,0.047,0.093,False,False,False
daily,Decision Tree,manual full,12 hour night activity,0.037,-0.351,False,False,False
daily,Decision Tree,manual full,activity morning,0.034,-0.279,False,False,False
daily,Decision Tree,manual full,activity afternoon,0.03,-0.307,False,False,False
daily,Decision Tree,manual full,12 hour day activity,0.01,-0.317,False,False,False
daily,Decision Tree,manual full,sd,0.009,-0.276,False,False,False
daily,Decision Tree,manual full,mean absolute change activity,0.009,-0.351,False,False,False
daily,Decision Tree,manual full,RA,0.009,0.499,False,False,False
daily,Decision Tree,manual full,mean,0.0,-0.352,False,False,False
daily,Decision Tree,manual full,max,0.0,-0.213,False,False,False
daily,Decision Tree,manual full,IV,0.0,0.278,False,False,False
daily,Decision Tree,automatic all candidates,inactive night,0.101,0.656,False,False,False
daily,Decision Tree,automatic all candidates,inactive morning,0.099,0.769,False,True,True
daily,Decision Tree,automatic all candidates,inactive afternoon,0.094,0.823,False,True,True
daily,Decision Tree,automatic all candidates,inactive evening,0.093,0.817,False,True,True
daily,Decision Tree,automatic all candidates,activity night,0.07,-0.179,False,False,False
daily,Decision Tree,automatic all candidates,inactive ratio,0.062,,False,False,False
daily,Decision Tree,automatic all candidates,longest inactivity,0.062,0.758,False,True,True
daily,Decision Tree,automatic all candidates,activity evening,0.055,-0.328,False,False,False
daily,Decision Tree,automatic all candidates,day night ratio,0.047,0.093,False,False,False
daily,Decision Tree,automatic all candidates,12 hour night activity,0.037,-0.351,False,False,False
daily,Decision Tree,automatic all candidates,activity morning,0.034,-0.279,False,False,False
daily,Decision Tree,automatic all candidates,activity afternoon,0.03,-0.307,False,False,False
daily,Decision Tree,automatic all candidates,12 hour day activity,0.01,-0.317,False,False,False
daily,Decision Tree,automatic all candidates,sd,0.009,-0.276,False,False,False
daily,Decision Tree,automatic all candidates,RA,0.009,0.499,False,False,False
daily,Decision Tree,automatic all candidates,mean absolute change activity,0.009,-0.351,False,False,False
daily,Decision Tree,automatic all candidates,mean,0.0,-0.352,False,False,False
daily,Decision Tree,automatic all candidates,IV,0.0,0.278,False,False,False
daily,Decision Tree,automatic positive permutation,inactive ratio,0.062,,False,False,False
daily,Decision Tree,automatic positive permutation,12 hour night activity,0.037,-0.351,False,False,False
daily,Decision Tree,automatic positive permutation,12 hour day activity,0.01,-0.317,False,False,False
daily,Decision Tree,automatic positive permutation,sd,0.009,-0.276,False,False,False
daily,Decision Tree,automatic rfecv selected,inactive ratio,0.062,,False,False,False
