sample type,classifier,name,scores,metadata
daily,Logistic Regression,LogisticRegression activity rhythm,"{'accuracy': array([0.66842105, 0.51052632, 0.52513966, 0.55026455, 0.54010695]), 'balanced_accuracy': array([0.6766772 , 0.52085275, 0.56472359, 0.57693798, 0.57788714]), 'average_precision': array([0.58960358, 0.4289762 , 0.4540481 , 0.34156776, 0.46016075]), 'f1': array([0.62275449, 0.47457627, 0.50867052, 0.47852761, 0.48809524]), 'precision': array([0.55319149, 0.40776699, 0.4       , 0.37864078, 0.37962963]), 'recall': array([0.71232877, 0.56756757, 0.6984127 , 0.65      , 0.68333333])}","{'feature_set': 'activity_rhythm', 'n_features': 2, 'features': ['IV', 'RA'], 'feature_set_type': 'manual'}"
daily,Logistic Regression,LogisticRegression hourly activity,"{'accuracy': array([0.67894737, 0.62105263, 0.69832402, 0.69312169, 0.5828877 ]), 'balanced_accuracy': array([0.71098232, 0.6333877 , 0.7454844 , 0.72616279, 0.61817585]), 'average_precision': array([0.69697983, 0.57658919, 0.51309161, 0.67053544, 0.46932557]), 'f1': array([0.67027027, 0.5862069 , 0.67857143, 0.62820513, 0.52439024]), 'precision': array([0.55357143, 0.51      , 0.54285714, 0.51041667, 0.41346154]), 'recall': array([0.84931507, 0.68918919, 0.9047619 , 0.81666667, 0.71666667])}","{'feature_set': 'hourly_activity', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'feature_set_type': 'manual'}"
daily,Logistic Regression,LogisticRegression six hour bins,"{'accuracy': array([0.68947368, 0.71052632, 0.79888268, 0.67195767, 0.67914439]), 'balanced_accuracy': array([0.70149865, 0.70421715, 0.81219212, 0.675     , 0.70223097]), 'average_precision': array([0.69836209, 0.62128896, 0.7724873 , 0.46296376, 0.5463468 ]), 'f1': array([0.65088757, 0.64516129, 0.75      , 0.56944444, 0.60526316]), 'precision': array([0.57291667, 0.61728395, 0.66666667, 0.48809524, 0.5       ]), 'recall': array([0.75342466, 0.67567568, 0.85714286, 0.68333333, 0.76666667])}","{'feature_set': 'six_hour_bins', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
daily,Logistic Regression,LogisticRegression full,"{'accuracy': array([0.91578947, 0.75789474, 0.88826816, 0.82539683, 0.74331551]), 'balanced_accuracy': array([0.91874488, 0.74301025, 0.89203612, 0.83197674, 0.77145669]), 'average_precision': array([0.91858715, 0.76591345, 0.82480883, 0.79408746, 0.7308895 ]), 'f1': array([0.89473684, 0.68493151, 0.85074627, 0.75555556, 0.68      ]), 'precision': array([0.86075949, 0.69444444, 0.8028169 , 0.68      , 0.56666667]), 'recall': array([0.93150685, 0.67567568, 0.9047619 , 0.85      , 0.85      ])}","{'feature_set': 'full', 'n_features': 46, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
daily,Logistic Regression,LogisticRegression all candidates,"{'accuracy': array([0.87368421, 0.75263158, 0.86592179, 0.79365079, 0.7486631 ]), 'balanced_accuracy': array([0.87682941, 0.74603914, 0.87116858, 0.80872093, 0.7753937 ]), 'average_precision': array([0.90305905, 0.74356964, 0.93346116, 0.71597313, 0.77924579]), 'f1': array([0.84415584, 0.69281046, 0.82352941, 0.72340426, 0.68456376]), 'precision': array([0.80246914, 0.67088608, 0.76712329, 0.62962963, 0.57303371]), 'recall': array([0.89041096, 0.71621622, 0.88888889, 0.85      , 0.85      ])}","{'feature_set': 'all_candidates', 'n_features': 18, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
daily,Logistic Regression,LogisticRegression positive permutation,"{'accuracy': array([0.88421053, 0.76315789, 0.87150838, 0.7989418 , 0.75935829]), 'balanced_accuracy': array([0.89052804, 0.75465983, 0.87910509, 0.8125969 , 0.78766404]), 'average_precision': array([0.89928542, 0.74429997, 0.93242896, 0.71679009, 0.77208062]), 'f1': array([0.85897436, 0.70198675, 0.83211679, 0.72857143, 0.69798658]), 'precision': array([0.80722892, 0.68831169, 0.77027027, 0.6375    , 0.58426966]), 'recall': array([0.91780822, 0.71621622, 0.9047619 , 0.85      , 0.86666667])}","{'feature_set': 'positive_permutation', 'n_features': 16, 'features': ['sd', '12_hour_night_activity', 'mean_absolute_change_activity', 'activity_afternoon', 'inactive_night', 'longest_inactivity', 'inactive_evening', 'inactive_ratio', 'IV', 'activity_night', '12_hour_day_activity', 'inactive_morning', 'activity_evening', 'mean', 'day_night_ratio', 'inactive_afternoon'], 'feature_set_type': 'automatic'}"
daily,Logistic Regression,LogisticRegression rfecv selected,"{'accuracy': array([0.87894737, 0.75789474, 0.87150838, 0.7989418 , 0.7540107 ]), 'balanced_accuracy': array([0.88110292, 0.75034949, 0.87547893, 0.8125969 , 0.77933071]), 'average_precision': array([0.90496661, 0.74774893, 0.93165271, 0.71134405, 0.7834827 ]), 'f1': array([0.8496732 , 0.69736842, 0.82962963, 0.72857143, 0.68918919]), 'precision': array([0.8125    , 0.67948718, 0.77777778, 0.6375    , 0.57954545]), 'recall': array([0.89041096, 0.71621622, 0.88888889, 0.85      , 0.85      ])}","{'feature_set': 'rfecv_selected', 'n_features': 15, 'features': ['sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_afternoon', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
daily,Logistic Regression,LogisticRegression select from model,"{'accuracy': array([0.87368421, 0.71578947, 0.83798883, 0.80952381, 0.70588235]), 'balanced_accuracy': array([0.8742536 , 0.70608108, 0.84961686, 0.83817829, 0.73510499]), 'average_precision': array([0.87940768, 0.72849488, 0.91952118, 0.7335743 , 0.70578666]), 'f1': array([0.84210526, 0.64473684, 0.79432624, 0.75342466, 0.64052288]), 'precision': array([0.81012658, 0.62820513, 0.71794872, 0.63953488, 0.52688172]), 'recall': array([0.87671233, 0.66216216, 0.88888889, 0.91666667, 0.81666667])}","{'feature_set': 'select_from_model', 'feature_set_type': 'automatic', 'selection_method': 'SelectFromModel', 'threshold': 'median', 'n_features': 18, 'features': 'selected_inside_cv', 'note': 'SelectFromModel was fitted inside each CV fold'}"
daily,Decision Tree,DecisionTreeClassifier base,"{'accuracy': array([0.74736842, 0.69473684, 0.76536313, 0.68253968, 0.78609626]), 'balanced_accuracy': array([0.77684112, 0.73287512, 0.77907772, 0.66492248, 0.72821522]), 'average_precision': array([0.59571746, 0.56195162, 0.60942141, 0.46806794, 0.6102904 ]), 'f1': array([0.73333333, 0.69791667, 0.71232877, 0.55223881, 0.62962963]), 'precision': array([0.61682243, 0.56779661, 0.62650602, 0.5       , 0.70833333]), 'recall': array([0.90410959, 0.90540541, 0.82539683, 0.61666667, 0.56666667])}","{'feature_set': 'base', 'n_features': 6, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity'], 'feature_set_type': 'manual'}"
daily,Decision Tree,DecisionTreeClassifier activity rhythm,"{'accuracy': array([0.68421053, 0.45263158, 0.61452514, 0.62433862, 0.50802139]), 'balanced_accuracy': array([0.68949772, 0.45631407, 0.64094143, 0.63565891, 0.60262467]), 'average_precision': array([0.49699171, 0.3829616 , 0.4241849 , 0.37343749, 0.37087814]), 'f1': array([0.63414634, 0.40229885, 0.57142857, 0.52980132, 0.53061224]), 'precision': array([0.57142857, 0.35      , 0.46938776, 0.43956044, 0.38235294]), 'recall': array([0.71232877, 0.47297297, 0.73015873, 0.66666667, 0.86666667])}","{'feature_set': 'activity_rhythm', 'n_features': 2, 'features': ['IV', 'RA'], 'feature_set_type': 'manual'}"
daily,Decision Tree,DecisionTreeClassifier hourly activity,"{'accuracy': array([0.7       , 0.64210526, 0.67039106, 0.61904762, 0.65240642]), 'balanced_accuracy': array([0.71777309, 0.63350419, 0.70942802, 0.66744186, 0.70013123]), 'average_precision': array([0.5409656 , 0.48426984, 0.52079932, 0.42043374, 0.45082659]), 'f1': array([0.67052023, 0.56410256, 0.64242424, 0.57142857, 0.60606061]), 'precision': array([0.58      , 0.53658537, 0.51960784, 0.44444444, 0.47619048]), 'recall': array([0.79452055, 0.59459459, 0.84126984, 0.8       , 0.83333333])}","{'feature_set': 'hourly_activity', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'feature_set_type': 'manual'}"
daily,Decision Tree,DecisionTreeClassifier six hour bins,"{'accuracy': array([0.75789474, 0.73684211, 0.64804469, 0.72486772, 0.65240642]), 'balanced_accuracy': array([0.78023651, 0.74778658, 0.68493432, 0.72267442, 0.6605643 ]), 'average_precision': array([0.62591454, 0.62796147, 0.47976917, 0.51738786, 0.42143392]), 'f1': array([0.73563218, 0.70238095, 0.61818182, 0.62318841, 0.55782313]), 'precision': array([0.63366337, 0.62765957, 0.5       , 0.55128205, 0.47126437]), 'recall': array([0.87671233, 0.7972973 , 0.80952381, 0.71666667, 0.68333333])}","{'feature_set': 'six_hour_bins', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
daily,Decision Tree,DecisionTreeClassifier full,"{'accuracy': array([0.75789474, 0.7       , 0.7877095 , 0.70899471, 0.6684492 ]), 'balanced_accuracy': array([0.78796394, 0.72006058, 0.76005747, 0.68430233, 0.6503937 ]), 'average_precision': array([0.60453108, 0.55537289, 0.66452626, 0.4956419 , 0.45995395]), 'f1': array([0.74444444, 0.6779661 , 0.68852459, 0.57364341, 0.53731343]), 'precision': array([0.62616822, 0.58252427, 0.71186441, 0.53623188, 0.48648649]), 'recall': array([0.91780822, 0.81081081, 0.66666667, 0.61666667, 0.6       ])}","{'feature_set': 'full', 'n_features': 46, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'manual'}"
daily,Decision Tree,DecisionTreeClassifier all candidates,"{'accuracy': array([0.75263158, 0.7       , 0.77094972, 0.70899471, 0.6684492 ]), 'balanced_accuracy': array([0.78111462, 0.72006058, 0.78338807, 0.68430233, 0.6503937 ]), 'average_precision': array([0.61343201, 0.55537289, 0.61639241, 0.4956419 , 0.45995395]), 'f1': array([0.73743017, 0.6779661 , 0.71724138, 0.57364341, 0.53731343]), 'precision': array([0.62264151, 0.58252427, 0.63414634, 0.53623188, 0.48648649]), 'recall': array([0.90410959, 0.81081081, 0.82539683, 0.61666667, 0.6       ])}","{'feature_set': 'all_candidates', 'n_features': 18, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'feature_set_type': 'automatic'}"
daily,Decision Tree,DecisionTreeClassifier positive permutation,"{'accuracy': array([0.75263158, 0.7       , 0.77094972, 0.70899471, 0.6684492 ]), 'balanced_accuracy': array([0.78111462, 0.72006058, 0.78338807, 0.68430233, 0.6503937 ]), 'average_precision': array([0.62119808, 0.55537289, 0.61639241, 0.4956419 , 0.45995395]), 'f1': array([0.73743017, 0.6779661 , 0.71724138, 0.57364341, 0.53731343]), 'precision': array([0.62264151, 0.58252427, 0.63414634, 0.53623188, 0.48648649]), 'recall': array([0.90410959, 0.81081081, 0.82539683, 0.61666667, 0.6       ])}","{'feature_set': 'positive_permutation', 'n_features': 4, 'features': ['inactive_ratio', '12_hour_day_activity', 'sd', '12_hour_night_activity'], 'feature_set_type': 'automatic'}"
daily,Decision Tree,DecisionTreeClassifier rfecv selected,"{'accuracy': array([0.80526316, 0.74736842, 0.75418994, 0.67195767, 0.78074866]), 'balanced_accuracy': array([0.81612223, 0.73928239, 0.77045703, 0.65717054, 0.74625984]), 'average_precision': array([0.67029968, 0.60137467, 0.56933799, 0.45718105, 0.57536368]), 'f1': array([0.77300613, 0.68421053, 0.7027027 , 0.54411765, 0.65546218]), 'precision': array([0.7       , 0.66666667, 0.61176471, 0.48684211, 0.66101695]), 'recall': array([0.8630137 , 0.7027027 , 0.82539683, 0.61666667, 0.65      ])}","{'feature_set': 'rfecv_selected', 'n_features': 1, 'features': ['inactive_ratio'], 'feature_set_type': 'automatic'}"
daily,Decision Tree,DecisionTreeClassifier select from model,"{'accuracy': array([0.75263158, 0.7       , 0.77094972, 0.68253968, 0.6684492 ]), 'balanced_accuracy': array([0.78111462, 0.72006058, 0.78338807, 0.66492248, 0.6503937 ]), 'average_precision': array([0.61343201, 0.55537289, 0.61639241, 0.46806794, 0.45995395]), 'f1': array([0.73743017, 0.6779661 , 0.71724138, 0.55223881, 0.53731343]), 'precision': array([0.62264151, 0.58252427, 0.63414634, 0.5       , 0.48648649]), 'recall': array([0.90410959, 0.81081081, 0.82539683, 0.61666667, 0.6       ])}","{'feature_set': 'select_from_model', 'feature_set_type': 'automatic', 'selection_method': 'SelectFromModel', 'threshold': 'median', 'n_features': 18, 'features': 'selected_inside_cv', 'note': 'SelectFromModel was fitted inside each CV fold'}"
