feature,selected,ranking
sd,True,1
inactive_ratio,True,1
longest_inactivity,True,1
12_hour_day_activity,True,1
day_night_ratio,True,1
12_hour_night_activity,True,1
mean_absolute_change_activity,True,1
IV,True,1
inactive_morning,True,1
RA,True,1
activity_night,True,1
activity_afternoon,True,1
inactive_night,True,1
inactive_afternoon,True,1
inactive_evening,True,1
activity_morning,False,2
activity_evening,False,3
mean,False,4
