n_features,mean_test_score,std_test_score
1,0.7695238095238095,0.09472959487469965
2,0.7816666666666666,0.09594558643082839
3,0.7816666666666666,0.09594558643082839
4,0.7816666666666666,0.09594558643082839
5,0.7816666666666666,0.09594558643082839
6,0.7816666666666666,0.09594558643082839
7,0.7816666666666666,0.09594558643082839
8,0.7816666666666666,0.09594558643082839
9,0.7816666666666666,0.09594558643082839
10,0.7816666666666666,0.09594558643082839
11,0.7816666666666666,0.09594558643082839
12,0.7816666666666666,0.09594558643082839
13,0.7816666666666666,0.09594558643082839
14,0.7816666666666666,0.09594558643082839
15,0.7816666666666666,0.09594558643082839
16,0.7816666666666666,0.09594558643082839
17,0.7816666666666666,0.09594558643082839
18,0.7816666666666666,0.09594558643082839
19,0.7816666666666666,0.09594558643082839
20,0.7816666666666666,0.09594558643082839
