feature,selected,ranking
daily_mean_activity_variance,True,1
inactive_evening,True,1
inactive_afternoon,False,2
inactive_morning,False,3
inactive_night,False,4
activity_evening,False,5
activity_afternoon,False,6
activity_morning,False,7
activity_night,False,8
IS,False,9
day_night_ratio,False,10
RA,False,11
IV,False,12
mean_absolute_change_activity,False,13
12_hour_night_activity,False,14
12_hour_day_activity,False,15
longest_inactivity,False,16
inactive_ratio,False,17
sd,False,18
mean,False,19
