sample_type,classifier,name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
person,Random Forest,RandomForestClassifier_manual_base_remove_inactive_ratio,manual_base,ablation,6,0.831,0.15,0.823,0.157,0.928,0.064,0.794,0.186,0.813,0.165,0.78,0.204
person,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_afternoon,manual_six_hour_bins,ablation,7,0.76,0.07,0.763,0.086,0.786,0.063,0.707,0.08,0.737,0.14,0.74,0.215
person,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_evening,manual_six_hour_bins,ablation,7,0.667,0.069,0.66,0.074,0.764,0.023,0.59,0.082,0.593,0.053,0.6,0.138
person,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_morning,manual_six_hour_bins,ablation,7,0.758,0.095,0.76,0.114,0.751,0.055,0.705,0.121,0.697,0.07,0.74,0.215
person,Random Forest,RandomForestClassifier_manual_six_hour_bins_remove_inactive_night,manual_six_hour_bins,ablation,7,0.742,0.064,0.749,0.074,0.765,0.108,0.692,0.067,0.718,0.154,0.74,0.215
person,Random Forest,RandomForestClassifier_manual_full_remove_min,manual_full,ablation,47,0.833,0.107,0.831,0.115,0.936,0.053,0.794,0.131,0.81,0.097,0.79,0.18
person,Random Forest,RandomForestClassifier_manual_full_remove_is_constant_activity,manual_full,ablation,47,0.815,0.082,0.806,0.085,0.923,0.072,0.766,0.093,0.81,0.097,0.74,0.146
person,Random Forest,RandomForestClassifier_manual_full_remove_inactive_afternoon,manual_full,ablation,47,0.833,0.146,0.828,0.149,0.923,0.072,0.803,0.167,0.82,0.157,0.79,0.18
person,Random Forest,RandomForestClassifier_manual_full_remove_inactive_evening,manual_full,ablation,47,0.833,0.146,0.828,0.149,0.923,0.072,0.803,0.167,0.82,0.157,0.79,0.18
person,Random Forest,RandomForestClassifier_manual_full_remove_inactive_morning,manual_full,ablation,47,0.833,0.146,0.828,0.149,0.923,0.072,0.803,0.167,0.82,0.157,0.79,0.18
person,Random Forest,RandomForestClassifier_manual_full_remove_inactive_night,manual_full,ablation,47,0.815,0.129,0.814,0.134,0.923,0.072,0.781,0.146,0.78,0.129,0.79,0.18
person,Random Forest,RandomForestClassifier_manual_full_remove_inactive_ratio,manual_full,ablation,47,0.815,0.129,0.814,0.134,0.923,0.072,0.781,0.146,0.78,0.129,0.79,0.18
person,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_morning,automatic_all_candidates,ablation,19,0.833,0.146,0.828,0.149,0.916,0.077,0.803,0.167,0.82,0.157,0.79,0.18
person,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_afternoon,automatic_all_candidates,ablation,19,0.833,0.146,0.828,0.149,0.916,0.077,0.803,0.167,0.82,0.157,0.79,0.18
person,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_evening,automatic_all_candidates,ablation,19,0.833,0.146,0.828,0.149,0.913,0.08,0.803,0.167,0.82,0.157,0.79,0.18
person,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_night,automatic_all_candidates,ablation,19,0.833,0.107,0.831,0.115,0.928,0.06,0.794,0.131,0.81,0.097,0.79,0.18
person,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_ratio,automatic_all_candidates,ablation,19,0.851,0.125,0.845,0.129,0.923,0.072,0.817,0.153,0.85,0.122,0.79,0.18
person,Random Forest,RandomForestClassifier_automatic_positive_permutation_remove_inactive_evening,automatic_positive_permutation,ablation,2,0.775,0.105,0.784,0.117,0.94,0.104,0.742,0.13,0.718,0.17,0.82,0.223
