sample_type,classifier,result_1,result_2,feature_set_1,feature_set_2,scoring_metric,mean_1,mean_2,mean_difference,std_difference,result_1_better_folds,result_2_better_folds,tied_folds
person,Random Forest,RandomForestClassifier_all_candidates,RandomForestClassifier_select_from_model,all_candidates,select_from_model,balanced_accuracy,0.814,0.848,-0.034,0.043,0,2,3
person,Random Forest,RandomForestClassifier_positive_permutation,RandomForestClassifier_rfecv_selected,positive_permutation,rfecv_selected,balanced_accuracy,0.871,0.882,-0.011,0.065,1,2,2
person,Random Forest,RandomForestClassifier_positive_permutation,RandomForestClassifier_select_from_model,positive_permutation,select_from_model,balanced_accuracy,0.871,0.848,0.022,0.097,2,2,1
person,Random Forest,RandomForestClassifier_rfecv_selected,RandomForestClassifier_select_from_model,rfecv_selected,select_from_model,balanced_accuracy,0.882,0.848,0.033,0.067,1,0,4
person,Logistic Regression,LogisticRegression_base,LogisticRegression_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.905,0.806,0.099,0.051,4,0,1
person,Logistic Regression,LogisticRegression_base,LogisticRegression_hourly_activity,base,hourly_activity,balanced_accuracy,0.905,0.891,0.014,0.06,2,1,2
person,Logistic Regression,LogisticRegression_base,LogisticRegression_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.905,0.806,0.099,0.07,4,0,1
person,Logistic Regression,LogisticRegression_base,LogisticRegression_full,base,full,balanced_accuracy,0.905,0.927,-0.022,0.063,1,2,2
person,Logistic Regression,LogisticRegression_base,LogisticRegression_all_candidates,base,all_candidates,balanced_accuracy,0.905,0.902,0.003,0.087,2,2,1
person,Logistic Regression,LogisticRegression_base,LogisticRegression_positive_permutation,base,positive_permutation,balanced_accuracy,0.905,0.911,-0.006,0.055,1,1,3
person,Logistic Regression,LogisticRegression_base,LogisticRegression_rfecv_selected,base,rfecv_selected,balanced_accuracy,0.905,0.908,-0.003,0.058,1,1,3
person,Logistic Regression,LogisticRegression_base,LogisticRegression_select_from_model,base,select_from_model,balanced_accuracy,0.905,0.942,-0.037,0.045,0,2,3
person,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.806,0.891,-0.084,0.076,0,4,1
person,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.806,0.806,0.0,0.071,2,2,1
person,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_full,activity_rhythm,full,balanced_accuracy,0.806,0.927,-0.121,0.037,0,5,0
person,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_all_candidates,activity_rhythm,all_candidates,balanced_accuracy,0.806,0.902,-0.096,0.061,0,4,1
person,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_positive_permutation,activity_rhythm,positive_permutation,balanced_accuracy,0.806,0.911,-0.104,0.02,0,5,0
person,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_rfecv_selected,activity_rhythm,rfecv_selected,balanced_accuracy,0.806,0.908,-0.102,0.045,0,5,0
person,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_select_from_model,activity_rhythm,select_from_model,balanced_accuracy,0.806,0.942,-0.135,0.028,0,5,0
person,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.891,0.806,0.085,0.097,4,1,0
person,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_full,hourly_activity,full,balanced_accuracy,0.891,0.927,-0.037,0.087,1,2,2
person,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_all_candidates,hourly_activity,all_candidates,balanced_accuracy,0.891,0.902,-0.012,0.109,2,2,1
person,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_positive_permutation,hourly_activity,positive_permutation,balanced_accuracy,0.891,0.911,-0.02,0.066,1,2,2
person,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_rfecv_selected,hourly_activity,rfecv_selected,balanced_accuracy,0.891,0.908,-0.018,0.064,1,2,2
person,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_select_from_model,hourly_activity,select_from_model,balanced_accuracy,0.891,0.942,-0.051,0.086,1,3,1
person,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_full,six_hour_bins,full,balanced_accuracy,0.806,0.927,-0.121,0.041,0,5,0
person,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_all_candidates,six_hour_bins,all_candidates,balanced_accuracy,0.806,0.902,-0.096,0.081,1,4,0
person,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_positive_permutation,six_hour_bins,positive_permutation,balanced_accuracy,0.806,0.911,-0.105,0.063,0,4,1
person,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_rfecv_selected,six_hour_bins,rfecv_selected,balanced_accuracy,0.806,0.908,-0.102,0.105,1,4,0
