sample_type,classifier,name,scores,metadata
person,Random Forest,RandomForestClassifier_manual_full_remove_inactive_night,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 0.90909091, 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 0.92857143, 0.79166667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.8125    ]), 'f1': array([0.6       , 0.66666667, 1.        , 0.88888889, 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 0.8 , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_night', 'n_features': 47, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_manual_full_remove_inactive_ratio,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 0.90909091, 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 0.92857143, 0.79166667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.8125    ]), 'f1': array([0.6       , 0.66666667, 1.        , 0.88888889, 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 0.8 , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'manual_full', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_ratio', 'n_features': 47, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_morning,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.90285714, 1.        , 1.        , 0.79861111]), 'f1': array([0.6       , 0.66666667, 1.        , 1.        , 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'automatic_all_candidates', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_morning', 'n_features': 19, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_afternoon', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_afternoon,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.90285714, 1.        , 1.        , 0.79861111]), 'f1': array([0.6       , 0.66666667, 1.        , 1.        , 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'automatic_all_candidates', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_afternoon', 'n_features': 19, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_evening,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.90285714, 1.        , 1.        , 0.7875    ]), 'f1': array([0.6       , 0.66666667, 1.        , 1.        , 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'automatic_all_candidates', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_evening', 'n_features': 19, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon']}"
person,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_night,"{'accuracy': array([0.72727273, 0.72727273, 1.        , 0.90909091, 0.8       ]), 'balanced_accuracy': array([0.71666667, 0.71666667, 1.        , 0.92857143, 0.79166667]), 'average_precision': array([0.87619048, 0.90285714, 1.        , 1.        , 0.86111111]), 'f1': array([0.66666667, 0.66666667, 1.        , 0.88888889, 0.75      ]), 'precision': array([0.75, 0.75, 1.  , 0.8 , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'automatic_all_candidates', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_night', 'n_features': 19, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_automatic_all_candidates_remove_inactive_ratio,"{'accuracy': array([0.72727273, 0.72727273, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.71666667, 0.71666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.8125    ]), 'f1': array([0.66666667, 0.66666667, 1.        , 1.        , 0.75      ]), 'precision': array([0.75, 0.75, 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'automatic_all_candidates', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_ratio', 'n_features': 19, 'features': ['mean', 'sd', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening']}"
person,Random Forest,RandomForestClassifier_automatic_positive_permutation_remove_inactive_evening,"{'accuracy': array([0.81818182, 0.72727273, 0.90909091, 0.81818182, 0.6       ]), 'balanced_accuracy': array([0.8       , 0.75      , 0.92857143, 0.85714286, 0.58333333]), 'average_precision': array([1.        , 0.96666667, 1.        , 1.        , 0.73333333]), 'f1': array([0.75      , 0.76923077, 0.88888889, 0.8       , 0.5       ]), 'precision': array([1.        , 0.625     , 0.8       , 0.66666667, 0.5       ]), 'recall': array([0.6, 1. , 1. , 1. , 0.5])}","{'analysis': 'feature_ablation', 'feature_set': 'automatic_positive_permutation', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_evening', 'n_features': 2, 'features': ['daily_mean_activity_variance', 'day_night_ratio']}"
person,Random Forest,RandomForestClassifier_automatic_rfecv_selected_remove_inactive_evening,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.83035714]), 'f1': array([0.6       , 0.66666667, 1.        , 1.        , 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'automatic_rfecv_selected', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_evening', 'n_features': 9, 'features': ['mean', 'sd', 'inactive_ratio', '12_hour_night_activity', 'day_night_ratio', 'daily_mean_activity_variance', 'IS', 'activity_afternoon', 'activity_evening']}"
person,Random Forest,RandomForestClassifier_automatic_rfecv_selected_remove_inactive_ratio,"{'accuracy': array([0.63636364, 0.72727273, 1.        , 1.        , 0.8       ]), 'balanced_accuracy': array([0.63333333, 0.71666667, 1.        , 1.        , 0.79166667]), 'average_precision': array([0.87619048, 0.92666667, 1.        , 1.        , 0.85416667]), 'f1': array([0.6       , 0.66666667, 1.        , 1.        , 0.75      ]), 'precision': array([0.6 , 0.75, 1.  , 1.  , 0.75]), 'recall': array([0.6 , 0.6 , 1.  , 1.  , 0.75])}","{'analysis': 'feature_ablation', 'feature_set': 'automatic_rfecv_selected', 'feature_set_type': 'ablation', 'feature_removed': 'inactive_ratio', 'n_features': 9, 'features': ['mean', 'sd', '12_hour_night_activity', 'day_night_ratio', 'daily_mean_activity_variance', 'IS', 'activity_afternoon', 'activity_evening', 'inactive_evening']}"
