feature,selected,ranking
mean,True,1
sd,True,1
inactive_ratio,True,1
12_hour_night_activity,True,1
day_night_ratio,True,1
activity_afternoon,True,1
daily_mean_activity_variance,True,1
IS,True,1
activity_evening,True,1
inactive_evening,True,1
mean_absolute_change_activity,False,2
RA,False,3
inactive_night,False,4
12_hour_day_activity,False,5
IV,False,6
longest_inactivity,False,7
inactive_afternoon,False,8
activity_night,False,9
inactive_morning,False,10
activity_morning,False,11
