name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
DecisionTreeClassifier_manual_base_remove_longest_inactivity,manual_base,ablation,5,0.7362903848913155,0.04153477331103497,0.7398115293630311,0.041473088337493344,0.5713414530106815,0.0551344531869647,0.6701369659461209,0.06430984505926894,0.6018476543439177,0.06577500154352776,0.773649030635332,0.13141115557604263
DecisionTreeClassifier_manual_base_remove_inactive_ratio,manual_base,ablation,5,0.7440940367961832,0.03980882126116466,0.7760238783206143,0.034107831973474896,0.5841828717408132,0.06881075281259291,0.7104304359816782,0.039965518781734675,0.5929126211822378,0.04935837313402195,0.889522046508348,0.036720750379045985
DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_morning,manual_six_hour_bins,ablation,7,0.6911769107656129,0.06344921422659577,0.7115489367998167,0.054519858554563864,0.5279120008552829,0.09107257726445714,0.6413981444462217,0.07268822686223952,0.546016144048422,0.081259509124255,0.7833733537843127,0.0608102803835025
DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_afternoon,manual_six_hour_bins,ablation,7,0.7029416166479658,0.04644653182026649,0.7166932937551972,0.04645525172070963,0.540091001941516,0.07471646276130882,0.644210005386917,0.06837599621815574,0.5553781412744969,0.0674307478625287,0.7700400204509793,0.07866286481711172
DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_evening,manual_six_hour_bins,ablation,7,0.762081819199276,0.030624904425542353,0.76882962154181,0.032924104352712626,0.6089685624062546,0.06023806712348063,0.7017575646262297,0.046896109512310956,0.6259904225571294,0.042465241372533734,0.7995638299747889,0.06099325426998195
DecisionTreeClassifier_manual_full_remove_is_constant_activity,manual_full,ablation,45,0.724609628180896,0.04264491848690961,0.7205556028202467,0.04968202694523718,0.5560052176128117,0.07348680498525999,0.6443783959983657,0.07688508170695776,0.5886550546935688,0.0772165448367642,0.7223904726644453,0.12269339457276908
DecisionTreeClassifier_manual_full_remove_min,manual_full,ablation,45,0.721451733444054,0.04059872572530036,0.7174763380971464,0.04572849292516682,0.5553131767840299,0.0730415116750679,0.6413458607006369,0.07308346750380369,0.585643632055978,0.07597850647006192,0.7196507466370481,0.11837614326346559
DecisionTreeClassifier_manual_full_remove_inactive_morning,manual_full,ablation,45,0.724609628180896,0.04264491848690961,0.7205556028202467,0.04968202694523718,0.5560052176128117,0.07348680498525999,0.6443783959983657,0.07688508170695776,0.5886550546935688,0.0772165448367642,0.7223904726644453,0.12269339457276908
DecisionTreeClassifier_manual_full_remove_inactive_afternoon,manual_full,ablation,45,0.724609628180896,0.04264491848690961,0.7205556028202467,0.04968202694523718,0.5560052176128117,0.07348680498525999,0.6443783959983657,0.07688508170695776,0.5886550546935688,0.0772165448367642,0.7223904726644453,0.12269339457276908
DecisionTreeClassifier_manual_full_remove_inactive_evening,manual_full,ablation,45,0.724609628180896,0.04264491848690961,0.7205556028202467,0.04968202694523718,0.5560052176128117,0.07348680498525999,0.6443783959983657,0.07688508170695776,0.5886550546935688,0.0772165448367642,0.7223904726644453,0.12269339457276908
DecisionTreeClassifier_manual_full_remove_longest_inactivity,manual_full,ablation,45,0.724609628180896,0.04264491848690961,0.7205556028202467,0.04968202694523718,0.5560052176128117,0.07348680498525999,0.6443783959983657,0.07688508170695776,0.5886550546935688,0.0772165448367642,0.7223904726644453,0.12269339457276908
DecisionTreeClassifier_manual_full_remove_inactive_ratio,manual_full,ablation,45,0.764664876057373,0.050097167714086094,0.7774569710032735,0.047732698785641306,0.5970849530441794,0.06134593599890376,0.7134816198700722,0.057043026528264554,0.6270080482451296,0.061927237196652225,0.830168250442223,0.0625595560289524
DecisionTreeClassifier_automatic_all_candidates_remove_inactive_morning,automatic_all_candidates,ablation,17,0.7202050412946861,0.0369840111470238,0.7238518591278398,0.052532322980631124,0.5481586312965435,0.062460515841594955,0.6487188984583119,0.07933211854147773,0.572406098657299,0.05500651791155063,0.7513967783830797,0.12116140000373356
DecisionTreeClassifier_automatic_all_candidates_remove_inactive_afternoon,automatic_all_candidates,ablation,17,0.7202050412946861,0.0369840111470238,0.7238518591278398,0.052532322980631124,0.5481586312965435,0.062460515841594955,0.6487188984583119,0.07933211854147773,0.572406098657299,0.05500651791155063,0.7513967783830797,0.12116140000373356
DecisionTreeClassifier_automatic_all_candidates_remove_inactive_evening,automatic_all_candidates,ablation,17,0.7202050412946861,0.0369840111470238,0.7238518591278398,0.052532322980631124,0.5481586312965435,0.062460515841594955,0.6487188984583119,0.07933211854147773,0.572406098657299,0.05500651791155063,0.7513967783830797,0.12116140000373356
DecisionTreeClassifier_automatic_all_candidates_remove_longest_inactivity,automatic_all_candidates,ablation,17,0.7202050412946861,0.0369840111470238,0.7238518591278398,0.052532322980631124,0.5481586312965435,0.062460515841594955,0.6487188984583119,0.07933211854147773,0.572406098657299,0.05500651791155063,0.7513967783830797,0.12116140000373356
