sample type,classifier,result 1,result 2,feature set 1,feature set 2,scoring metric,mean 1,mean 2,mean difference,std difference,result 1 better folds,result 2 better folds,tied folds
person,Random Forest,RandomForestClassifier rfecv selected,RandomForestClassifier select from model,rfecv selected,select from model,balanced accuracy,0.882,0.848,0.033,0.067,1,0,4
person,Logistic Regression,LogisticRegression base,LogisticRegression activity rhythm,base,activity rhythm,balanced accuracy,0.905,0.806,0.099,0.051,4,0,1
person,Logistic Regression,LogisticRegression base,LogisticRegression hourly activity,base,hourly activity,balanced accuracy,0.905,0.891,0.014,0.06,2,1,2
person,Logistic Regression,LogisticRegression base,LogisticRegression six hour bins,base,six hour bins,balanced accuracy,0.905,0.806,0.099,0.07,4,0,1
person,Logistic Regression,LogisticRegression base,LogisticRegression full,base,full,balanced accuracy,0.905,0.927,-0.022,0.063,1,2,2
person,Logistic Regression,LogisticRegression base,LogisticRegression all candidates,base,all candidates,balanced accuracy,0.905,0.902,0.003,0.087,2,2,1
person,Logistic Regression,LogisticRegression base,LogisticRegression positive permutation,base,positive permutation,balanced accuracy,0.905,0.911,-0.006,0.055,1,1,3
person,Logistic Regression,LogisticRegression base,LogisticRegression rfecv selected,base,rfecv selected,balanced accuracy,0.905,0.908,-0.003,0.058,1,1,3
person,Logistic Regression,LogisticRegression base,LogisticRegression select from model,base,select from model,balanced accuracy,0.905,0.942,-0.037,0.045,0,2,3
person,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression hourly activity,activity rhythm,hourly activity,balanced accuracy,0.806,0.891,-0.084,0.076,0,4,1
person,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression six hour bins,activity rhythm,six hour bins,balanced accuracy,0.806,0.806,0.0,0.071,2,2,1
person,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression full,activity rhythm,full,balanced accuracy,0.806,0.927,-0.121,0.037,0,5,0
person,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression all candidates,activity rhythm,all candidates,balanced accuracy,0.806,0.902,-0.096,0.061,0,4,1
person,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression positive permutation,activity rhythm,positive permutation,balanced accuracy,0.806,0.911,-0.104,0.02,0,5,0
person,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression rfecv selected,activity rhythm,rfecv selected,balanced accuracy,0.806,0.908,-0.102,0.045,0,5,0
person,Logistic Regression,LogisticRegression activity rhythm,LogisticRegression select from model,activity rhythm,select from model,balanced accuracy,0.806,0.942,-0.135,0.028,0,5,0
person,Logistic Regression,LogisticRegression hourly activity,LogisticRegression six hour bins,hourly activity,six hour bins,balanced accuracy,0.891,0.806,0.085,0.097,4,1,0
person,Logistic Regression,LogisticRegression hourly activity,LogisticRegression full,hourly activity,full,balanced accuracy,0.891,0.927,-0.037,0.087,1,2,2
person,Logistic Regression,LogisticRegression hourly activity,LogisticRegression all candidates,hourly activity,all candidates,balanced accuracy,0.891,0.902,-0.012,0.109,2,2,1
person,Logistic Regression,LogisticRegression hourly activity,LogisticRegression positive permutation,hourly activity,positive permutation,balanced accuracy,0.891,0.911,-0.02,0.066,1,2,2
person,Logistic Regression,LogisticRegression hourly activity,LogisticRegression rfecv selected,hourly activity,rfecv selected,balanced accuracy,0.891,0.908,-0.018,0.064,1,2,2
person,Logistic Regression,LogisticRegression hourly activity,LogisticRegression select from model,hourly activity,select from model,balanced accuracy,0.891,0.942,-0.051,0.086,1,3,1
person,Logistic Regression,LogisticRegression six hour bins,LogisticRegression full,six hour bins,full,balanced accuracy,0.806,0.927,-0.121,0.041,0,5,0
person,Logistic Regression,LogisticRegression six hour bins,LogisticRegression all candidates,six hour bins,all candidates,balanced accuracy,0.806,0.902,-0.096,0.081,1,4,0
person,Logistic Regression,LogisticRegression six hour bins,LogisticRegression positive permutation,six hour bins,positive permutation,balanced accuracy,0.806,0.911,-0.105,0.063,0,4,1
person,Logistic Regression,LogisticRegression six hour bins,LogisticRegression rfecv selected,six hour bins,rfecv selected,balanced accuracy,0.806,0.908,-0.102,0.105,1,4,0
person,Logistic Regression,LogisticRegression six hour bins,LogisticRegression select from model,six hour bins,select from model,balanced accuracy,0.806,0.942,-0.135,0.056,0,5,0
person,Logistic Regression,LogisticRegression full,LogisticRegression all candidates,full,all candidates,balanced accuracy,0.927,0.902,0.025,0.05,1,0,4
person,Logistic Regression,LogisticRegression full,LogisticRegression positive permutation,full,positive permutation,balanced accuracy,0.927,0.911,0.017,0.033,1,0,4
person,Logistic Regression,LogisticRegression full,LogisticRegression rfecv selected,full,rfecv selected,balanced accuracy,0.927,0.908,0.019,0.079,1,1,3
person,Logistic Regression,LogisticRegression full,LogisticRegression select from model,full,select from model,balanced accuracy,0.927,0.942,-0.014,0.029,0,1,4
person,Logistic Regression,LogisticRegression all candidates,LogisticRegression positive permutation,all candidates,positive permutation,balanced accuracy,0.902,0.911,-0.008,0.067,1,1,3
person,Logistic Regression,LogisticRegression all candidates,LogisticRegression rfecv selected,all candidates,rfecv selected,balanced accuracy,0.902,0.908,-0.006,0.098,1,2,2
person,Logistic Regression,LogisticRegression all candidates,LogisticRegression select from model,all candidates,select from model,balanced accuracy,0.902,0.942,-0.039,0.051,0,2,3
