sample type,classifier,name,scores,metadata
person,Logistic Regression,LogisticRegression manual hourly activity shuffled y,"{'accuracy': array([0.63636364, 0.72727273, 0.81818182, 0.72727273, 0.4       ]), 'balanced_accuracy': array([0.65      , 0.73333333, 0.75      , 0.73214286, 0.375     ]), 'average_precision': array([0.48095238, 0.83333333, 0.69375   , 0.67777778, 0.38819444]), 'f1': array([0.66666667, 0.72727273, 0.66666667, 0.66666667, 0.25      ]), 'precision': array([0.57142857, 0.66666667, 1.        , 0.6       , 0.25      ]), 'recall': array([0.8 , 0.8 , 0.5 , 0.75, 0.25])}","{'analysis': 'validation_check', 'feature_set': 'manual_hourly_activity', 'feature_set_type': 'shuffled_y', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'shuffled_y': True}"
person,Logistic Regression,LogisticRegression manual six hour bins shuffled y,"{'accuracy': array([0.36363636, 0.54545455, 0.72727273, 0.36363636, 0.4       ]), 'balanced_accuracy': array([0.35      , 0.55      , 0.73214286, 0.33928571, 0.375     ]), 'average_precision': array([0.43555556, 0.55873016, 0.55277778, 0.30833333, 0.42986111]), 'f1': array([0.22222222, 0.54545455, 0.66666667, 0.22222222, 0.25      ]), 'precision': array([0.25, 0.5 , 0.6 , 0.2 , 0.25]), 'recall': array([0.2 , 0.6 , 0.75, 0.25, 0.25])}","{'analysis': 'validation_check', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'shuffled_y', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
person,Logistic Regression,LogisticRegression manual full shuffled y,"{'accuracy': array([0.45454545, 0.63636364, 0.54545455, 0.54545455, 0.3       ]), 'balanced_accuracy': array([0.43333333, 0.63333333, 0.48214286, 0.53571429, 0.29166667]), 'average_precision': array([0.56388889, 0.69444444, 0.64285714, 0.53333333, 0.40128968]), 'f1': array([0.25      , 0.6       , 0.28571429, 0.44444444, 0.22222222]), 'precision': array([0.33333333, 0.6       , 0.33333333, 0.4       , 0.2       ]), 'recall': array([0.2 , 0.6 , 0.25, 0.5 , 0.25])}","{'analysis': 'validation_check', 'feature_set': 'manual_full', 'feature_set_type': 'shuffled_y', 'n_features': 48, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
person,Logistic Regression,LogisticRegression automatic all candidates shuffled y,"{'accuracy': array([0.54545455, 0.72727273, 0.72727273, 0.27272727, 0.5       ]), 'balanced_accuracy': array([0.53333333, 0.73333333, 0.73214286, 0.26785714, 0.5       ]), 'average_precision': array([0.52222222, 0.64166667, 0.775     , 0.49583333, 0.46825397]), 'f1': array([0.44444444, 0.72727273, 0.66666667, 0.2       , 0.44444444]), 'precision': array([0.5       , 0.66666667, 0.6       , 0.16666667, 0.4       ]), 'recall': array([0.4 , 0.8 , 0.75, 0.25, 0.5 ])}","{'analysis': 'validation_check', 'feature_set': 'automatic_all_candidates', 'feature_set_type': 'shuffled_y', 'n_features': 20, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
person,Logistic Regression,LogisticRegression automatic positive permutation shuffled y,"{'accuracy': array([0.45454545, 0.81818182, 0.72727273, 0.36363636, 0.5       ]), 'balanced_accuracy': array([0.45      , 0.83333333, 0.73214286, 0.33928571, 0.5       ]), 'average_precision': array([0.71111111, 0.72952381, 0.81666667, 0.49583333, 0.38075397]), 'f1': array([0.4       , 0.83333333, 0.66666667, 0.22222222, 0.44444444]), 'precision': array([0.4       , 0.71428571, 0.6       , 0.2       , 0.4       ]), 'recall': array([0.4 , 1.  , 0.75, 0.25, 0.5 ])}","{'analysis': 'validation_check', 'feature_set': 'automatic_positive_permutation', 'feature_set_type': 'shuffled_y', 'n_features': 11, 'features': ['IS', 'daily_mean_activity_variance', 'sd', 'activity_afternoon', 'RA', 'mean', 'activity_evening', '12_hour_night_activity', 'inactive_afternoon', 'longest_inactivity', 'activity_night'], 'shuffled_y': True}"
person,Logistic Regression,LogisticRegression automatic rfecv selected shuffled y,"{'accuracy': array([0.54545455, 0.63636364, 0.54545455, 0.54545455, 0.6       ]), 'balanced_accuracy': array([0.53333333, 0.63333333, 0.48214286, 0.53571429, 0.625     ]), 'average_precision': array([0.63928571, 0.62424242, 0.35132576, 0.36736111, 0.44444444]), 'f1': array([0.44444444, 0.6       , 0.28571429, 0.44444444, 0.6       ]), 'precision': array([0.5       , 0.6       , 0.33333333, 0.4       , 0.5       ]), 'recall': array([0.4 , 0.6 , 0.25, 0.5 , 0.75])}","{'analysis': 'validation_check', 'feature_set': 'automatic_rfecv_selected', 'feature_set_type': 'shuffled_y', 'n_features': 4, 'features': ['sd', '12_hour_night_activity', 'mean_absolute_change_activity', 'activity_night'], 'shuffled_y': True}"
person,Decision Tree,DecisionTreeClassifier manual base shuffled y,"{'accuracy': array([0.54545455, 0.63636364, 0.36363636, 0.36363636, 0.6       ]), 'balanced_accuracy': array([0.55      , 0.6       , 0.39285714, 0.33928571, 0.625     ]), 'average_precision': array([0.58181818, 0.7       , 0.43465909, 0.40340909, 0.6       ]), 'f1': array([0.54545455, 0.33333333, 0.36363636, 0.22222222, 0.6       ]), 'precision': array([0.5       , 1.        , 0.28571429, 0.2       , 0.5       ]), 'recall': array([0.6 , 0.2 , 0.5 , 0.25, 0.75])}","{'analysis': 'validation_check', 'feature_set': 'manual_base', 'feature_set_type': 'shuffled_y', 'n_features': 7, 'features': ['mean', 'sd', 'inactive_ratio', 'day_night_ratio', 'longest_inactivity', 'mean_absolute_change_activity', 'daily_mean_activity_variance'], 'shuffled_y': True}"
person,Decision Tree,DecisionTreeClassifier manual activity rhythm shuffled y,"{'accuracy': array([0.63636364, 0.54545455, 0.45454545, 0.36363636, 0.6       ]), 'balanced_accuracy': array([0.61666667, 0.53333333, 0.41071429, 0.33928571, 0.5       ]), 'average_precision': array([0.55757576, 0.47272727, 0.30681818, 0.32272727, 0.42142857]), 'f1': array([0.5       , 0.44444444, 0.25      , 0.22222222, 0.        ]), 'precision': array([0.66666667, 0.5       , 0.25      , 0.2       , 0.        ]), 'recall': array([0.4 , 0.4 , 0.25, 0.25, 0.  ])}","{'analysis': 'validation_check', 'feature_set': 'manual_activity_rhythm', 'feature_set_type': 'shuffled_y', 'n_features': 3, 'features': ['IS', 'IV', 'RA'], 'shuffled_y': True}"
person,Decision Tree,DecisionTreeClassifier manual hourly activity shuffled y,"{'accuracy': array([0.72727273, 0.63636364, 0.45454545, 0.72727273, 0.4       ]), 'balanced_accuracy': array([0.71666667, 0.63333333, 0.51785714, 0.625     , 0.375     ]), 'average_precision': array([0.70519481, 0.54181818, 0.37215909, 0.59090909, 0.35      ]), 'f1': array([0.66666667, 0.6       , 0.5       , 0.4       , 0.25      ]), 'precision': array([0.75 , 0.6  , 0.375, 1.   , 0.25 ]), 'recall': array([0.6 , 0.6 , 0.75, 0.25, 0.25])}","{'analysis': 'validation_check', 'feature_set': 'manual_hourly_activity', 'feature_set_type': 'shuffled_y', 'n_features': 24, 'features': ['mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23'], 'shuffled_y': True}"
person,Decision Tree,DecisionTreeClassifier manual six hour bins shuffled y,"{'accuracy': array([0.54545455, 0.27272727, 0.63636364, 0.45454545, 0.5       ]), 'balanced_accuracy': array([0.56666667, 0.25      , 0.5       , 0.41071429, 0.58333333]), 'average_precision': array([0.47090909, 0.44646465, 0.31590909, 0.33522727, 0.42222222]), 'f1': array([0.61538462, 0.        , 0.        , 0.25      , 0.61538462]), 'precision': array([0.5       , 0.        , 0.        , 0.25      , 0.44444444]), 'recall': array([0.8 , 0.  , 0.  , 0.25, 1.  ])}","{'analysis': 'validation_check', 'feature_set': 'manual_six_hour_bins', 'feature_set_type': 'shuffled_y', 'n_features': 8, 'features': ['activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
person,Decision Tree,DecisionTreeClassifier manual full shuffled y,"{'accuracy': array([0.36363636, 0.72727273, 0.63636364, 0.36363636, 0.4       ]), 'balanced_accuracy': array([0.35      , 0.73333333, 0.55357143, 0.33928571, 0.375     ]), 'average_precision': array([0.43181818, 0.58424242, 0.36931818, 0.32840909, 0.37678571]), 'f1': array([0.22222222, 0.72727273, 0.33333333, 0.22222222, 0.25      ]), 'precision': array([0.25      , 0.66666667, 0.5       , 0.2       , 0.25      ]), 'recall': array([0.2 , 0.8 , 0.25, 0.25, 0.25])}","{'analysis': 'validation_check', 'feature_set': 'manual_full', 'feature_set_type': 'shuffled_y', 'n_features': 48, 'features': ['min', 'max', 'mean', 'median', 'sd', 'mean_activity_0', 'mean_activity_1', 'mean_activity_2', 'mean_activity_3', 'mean_activity_4', 'mean_activity_5', 'mean_activity_6', 'mean_activity_7', 'mean_activity_8', 'mean_activity_9', 'mean_activity_10', 'mean_activity_11', 'mean_activity_12', 'mean_activity_13', 'mean_activity_14', 'mean_activity_15', 'mean_activity_16', 'mean_activity_17', 'mean_activity_18', 'mean_activity_19', 'mean_activity_20', 'mean_activity_21', 'mean_activity_22', 'mean_activity_23', 'inactive_ratio', 'longest_inactivity', 'is_constant_activity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
person,Decision Tree,DecisionTreeClassifier automatic all candidates shuffled y,"{'accuracy': array([0.54545455, 0.45454545, 0.45454545, 0.36363636, 0.4       ]), 'balanced_accuracy': array([0.56666667, 0.43333333, 0.41071429, 0.33928571, 0.33333333]), 'average_precision': array([0.59090909, 0.43030303, 0.30681818, 0.40340909, 0.42142857]), 'f1': array([0.61538462, 0.25      , 0.25      , 0.22222222, 0.        ]), 'precision': array([0.5       , 0.33333333, 0.25      , 0.2       , 0.        ]), 'recall': array([0.8 , 0.2 , 0.25, 0.25, 0.  ])}","{'analysis': 'validation_check', 'feature_set': 'automatic_all_candidates', 'feature_set_type': 'shuffled_y', 'n_features': 20, 'features': ['mean', 'sd', 'inactive_ratio', 'longest_inactivity', '12_hour_day_activity', '12_hour_night_activity', 'day_night_ratio', 'mean_absolute_change_activity', 'IV', 'RA', 'daily_mean_activity_variance', 'IS', 'activity_night', 'activity_morning', 'activity_afternoon', 'activity_evening', 'inactive_night', 'inactive_morning', 'inactive_afternoon', 'inactive_evening'], 'shuffled_y': True}"
person,Decision Tree,DecisionTreeClassifier automatic positive permutation shuffled y,"{'accuracy': array([0.45454545, 0.45454545, 0.54545455, 0.45454545, 0.5       ]), 'balanced_accuracy': array([0.43333333, 0.43333333, 0.42857143, 0.35714286, 0.45833333]), 'average_precision': array([0.46363636, 0.47272727, 0.36363636, 0.36363636, 0.38333333]), 'f1': array([0.25      , 0.25      , 0.        , 0.        , 0.28571429]), 'precision': array([0.33333333, 0.33333333, 0.        , 0.        , 0.33333333]), 'recall': array([0.2 , 0.2 , 0.  , 0.  , 0.25])}","{'analysis': 'validation_check', 'feature_set': 'automatic_positive_permutation', 'feature_set_type': 'shuffled_y', 'n_features': 5, 'features': ['daily_mean_activity_variance', 'inactive_evening', 'sd', 'inactive_ratio', 'day_night_ratio'], 'shuffled_y': True}"
person,Decision Tree,DecisionTreeClassifier automatic rfecv selected shuffled y,"{'accuracy': array([0.45454545, 0.45454545, 0.54545455, 0.45454545, 0.5       ]), 'balanced_accuracy': array([0.43333333, 0.43333333, 0.42857143, 0.41071429, 0.5       ]), 'average_precision': array([0.56363636, 0.47272727, 0.36363636, 0.33522727, 0.55      ]), 'f1': array([0.25      , 0.25      , 0.        , 0.25      , 0.44444444]), 'precision': array([0.33333333, 0.33333333, 0.        , 0.25      , 0.4       ]), 'recall': array([0.2 , 0.2 , 0.  , 0.25, 0.5 ])}","{'analysis': 'validation_check', 'feature_set': 'automatic_rfecv_selected', 'feature_set_type': 'shuffled_y', 'n_features': 2, 'features': ['daily_mean_activity_variance', 'inactive_evening'], 'shuffled_y': True}"
