sample_type,classifier,permutation_vs_rfecv,permutation_vs_inactivity,rfecv_vs_inactivity,permutation_rfecv_overlap_count,permutation_inactivity_overlap_count,rfecv_inactivity_overlap_count,all_overlap_count,permutation_rfecv_overlap_features,permutation_inactivity_overlap_features,rfecv_inactivity_overlap_features,all_overlap_features,n_importance_features,n_rfecv_features,n_zero_dominated_features
daily,Random Forest,0.308,0.111,0.188,4,1,3,1,"['12_hour_night_activity', 'RA', 'longest_inactivity', 'sd']",['longest_inactivity'],"['inactive_evening', 'inactive_morning', 'longest_inactivity']",['longest_inactivity'],4,13,6
daily,Logistic Regression,0.824,0.222,0.235,14,4,4,4,"['12_hour_day_activity', '12_hour_night_activity', 'IV', 'activity_afternoon', 'activity_night', 'day_night_ratio', 'inactive_afternoon', 'inactive_evening', 'inactive_morning', 'inactive_night', 'inactive_ratio', 'longest_inactivity', 'mean_absolute_change_activity', 'sd']","['inactive_afternoon', 'inactive_evening', 'inactive_morning', 'longest_inactivity']","['inactive_afternoon', 'inactive_evening', 'inactive_morning', 'longest_inactivity']","['inactive_afternoon', 'inactive_evening', 'inactive_morning', 'longest_inactivity']",16,15,6
daily,Decision Tree,0.25,0.0,0.0,1,0,0,0,['inactive_ratio'],[],[],[],4,1,6
