sample_type,classifier,result_1,result_2,feature_set_1,feature_set_2,scoring_metric,mean_1,mean_2,mean_difference,std_difference,result_1_better_folds,result_2_better_folds,tied_folds
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.79,0.583,0.206,0.061,5,0,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_hourly_activity,base,hourly_activity,balanced_accuracy,0.79,0.687,0.103,0.04,5,0,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.79,0.719,0.071,0.041,4,1,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_full,base,full,balanced_accuracy,0.79,0.831,-0.042,0.039,1,4,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_all_candidates,base,all_candidates,balanced_accuracy,0.79,0.816,-0.026,0.028,1,4,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_positive_permutation,base,positive_permutation,balanced_accuracy,0.79,0.825,-0.035,0.029,1,4,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_rfecv_selected,base,rfecv_selected,balanced_accuracy,0.79,0.82,-0.03,0.028,1,4,0
daily,Logistic Regression,LogisticRegression_base,LogisticRegression_select_from_model,base,select_from_model,balanced_accuracy,0.79,0.801,-0.011,0.044,2,3,0
daily,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.583,0.687,-0.103,0.058,0,5,0
daily,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.583,0.719,-0.136,0.076,0,5,0
daily,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_full,activity_rhythm,full,balanced_accuracy,0.583,0.831,-0.248,0.045,0,5,0
daily,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_all_candidates,activity_rhythm,all_candidates,balanced_accuracy,0.583,0.816,-0.232,0.039,0,5,0
daily,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_positive_permutation,activity_rhythm,positive_permutation,balanced_accuracy,0.583,0.825,-0.241,0.038,0,5,0
daily,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_rfecv_selected,activity_rhythm,rfecv_selected,balanced_accuracy,0.583,0.82,-0.236,0.04,0,5,0
daily,Logistic Regression,LogisticRegression_activity_rhythm,LogisticRegression_select_from_model,activity_rhythm,select_from_model,balanced_accuracy,0.583,0.801,-0.217,0.048,0,5,0
daily,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.687,0.719,-0.032,0.053,2,3,0
daily,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_full,hourly_activity,full,balanced_accuracy,0.687,0.831,-0.145,0.037,0,5,0
daily,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_all_candidates,hourly_activity,all_candidates,balanced_accuracy,0.687,0.816,-0.129,0.03,0,5,0
daily,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_positive_permutation,hourly_activity,positive_permutation,balanced_accuracy,0.687,0.825,-0.138,0.034,0,5,0
daily,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_rfecv_selected,hourly_activity,rfecv_selected,balanced_accuracy,0.687,0.82,-0.133,0.03,0,5,0
daily,Logistic Regression,LogisticRegression_hourly_activity,LogisticRegression_select_from_model,hourly_activity,select_from_model,balanced_accuracy,0.687,0.801,-0.114,0.029,0,5,0
daily,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_full,six_hour_bins,full,balanced_accuracy,0.719,0.831,-0.112,0.065,0,5,0
daily,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_all_candidates,six_hour_bins,all_candidates,balanced_accuracy,0.719,0.816,-0.097,0.05,0,5,0
daily,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_positive_permutation,six_hour_bins,positive_permutation,balanced_accuracy,0.719,0.825,-0.106,0.051,0,5,0
daily,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_rfecv_selected,six_hour_bins,rfecv_selected,balanced_accuracy,0.719,0.82,-0.101,0.05,0,5,0
daily,Logistic Regression,LogisticRegression_six_hour_bins,LogisticRegression_select_from_model,six_hour_bins,select_from_model,balanced_accuracy,0.719,0.801,-0.082,0.072,0,5,0
daily,Logistic Regression,LogisticRegression_full,LogisticRegression_all_candidates,full,all_candidates,balanced_accuracy,0.831,0.816,0.016,0.017,3,2,0
daily,Logistic Regression,LogisticRegression_full,LogisticRegression_positive_permutation,full,positive_permutation,balanced_accuracy,0.831,0.825,0.007,0.017,3,2,0
daily,Logistic Regression,LogisticRegression_full,LogisticRegression_rfecv_selected,full,rfecv_selected,balanced_accuracy,0.831,0.82,0.012,0.017,3,2,0
daily,Logistic Regression,LogisticRegression_full,LogisticRegression_select_from_model,full,select_from_model,balanced_accuracy,0.831,0.801,0.031,0.019,4,1,0
daily,Logistic Regression,LogisticRegression_all_candidates,LogisticRegression_positive_permutation,all_candidates,positive_permutation,balanced_accuracy,0.816,0.825,-0.009,0.003,0,5,0
daily,Logistic Regression,LogisticRegression_all_candidates,LogisticRegression_rfecv_selected,all_candidates,rfecv_selected,balanced_accuracy,0.816,0.82,-0.004,0.0,0,5,0
daily,Logistic Regression,LogisticRegression_all_candidates,LogisticRegression_select_from_model,all_candidates,select_from_model,balanced_accuracy,0.816,0.801,0.015,0.026,4,1,0
daily,Logistic Regression,LogisticRegression_positive_permutation,LogisticRegression_rfecv_selected,positive_permutation,rfecv_selected,balanced_accuracy,0.825,0.82,0.005,0.003,4,0,1
daily,Logistic Regression,LogisticRegression_positive_permutation,LogisticRegression_select_from_model,positive_permutation,select_from_model,balanced_accuracy,0.825,0.801,0.024,0.028,4,1,0
daily,Logistic Regression,LogisticRegression_rfecv_selected,LogisticRegression_select_from_model,rfecv_selected,select_from_model,balanced_accuracy,0.82,0.801,0.019,0.026,4,1,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_activity_rhythm,base,activity_rhythm,balanced_accuracy,0.736,0.605,0.131,0.082,5,0,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_hourly_activity,base,hourly_activity,balanced_accuracy,0.736,0.686,0.051,0.035,4,1,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_six_hour_bins,base,six_hour_bins,balanced_accuracy,0.736,0.719,0.017,0.056,2,3,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_full,base,full,balanced_accuracy,0.736,0.721,0.016,0.034,3,2,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_all_candidates,base,all_candidates,balanced_accuracy,0.736,0.724,0.013,0.034,2,3,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_positive_permutation,base,positive_permutation,balanced_accuracy,0.736,0.724,0.013,0.034,2,3,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_rfecv_selected,base,rfecv_selected,balanced_accuracy,0.736,0.746,-0.009,0.018,2,3,0
daily,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_select_from_model,base,select_from_model,balanced_accuracy,0.736,0.72,0.016,0.031,2,2,1
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.605,0.686,-0.081,0.055,0,5,0
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.605,0.719,-0.114,0.09,0,5,0
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_full,activity_rhythm,full,balanced_accuracy,0.605,0.721,-0.116,0.079,0,5,0
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_all_candidates,activity_rhythm,all_candidates,balanced_accuracy,0.605,0.724,-0.119,0.08,0,5,0
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_positive_permutation,activity_rhythm,positive_permutation,balanced_accuracy,0.605,0.724,-0.119,0.08,0,5,0
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_rfecv_selected,activity_rhythm,rfecv_selected,balanced_accuracy,0.605,0.746,-0.141,0.083,0,5,0
daily,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_select_from_model,activity_rhythm,select_from_model,balanced_accuracy,0.605,0.72,-0.115,0.084,0,5,0
daily,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.686,0.719,-0.034,0.058,2,3,0
daily,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_full,hourly_activity,full,balanced_accuracy,0.686,0.721,-0.035,0.048,1,4,0
daily,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_all_candidates,hourly_activity,all_candidates,balanced_accuracy,0.686,0.724,-0.038,0.05,1,4,0
daily,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_positive_permutation,hourly_activity,positive_permutation,balanced_accuracy,0.686,0.724,-0.038,0.05,1,4,0
daily,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_rfecv_selected,hourly_activity,rfecv_selected,balanced_accuracy,0.686,0.746,-0.06,0.042,1,4,0
daily,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_select_from_model,hourly_activity,select_from_model,balanced_accuracy,0.686,0.72,-0.034,0.052,2,3,0
daily,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_full,six_hour_bins,full,balanced_accuracy,0.719,0.721,-0.001,0.04,3,2,0
daily,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_all_candidates,six_hour_bins,all_candidates,balanced_accuracy,0.719,0.724,-0.005,0.049,3,2,0
daily,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_positive_permutation,six_hour_bins,positive_permutation,balanced_accuracy,0.719,0.724,-0.005,0.049,3,2,0
daily,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_rfecv_selected,six_hour_bins,rfecv_selected,balanced_accuracy,0.719,0.746,-0.027,0.058,2,3,0
daily,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_select_from_model,six_hour_bins,select_from_model,balanced_accuracy,0.719,0.72,-0.001,0.053,3,2,0
daily,Decision Tree,DecisionTreeClassifier_full,DecisionTreeClassifier_all_candidates,full,all_candidates,balanced_accuracy,0.721,0.724,-0.003,0.01,1,1,3
daily,Decision Tree,DecisionTreeClassifier_full,DecisionTreeClassifier_positive_permutation,full,positive_permutation,balanced_accuracy,0.721,0.724,-0.003,0.01,1,1,3
daily,Decision Tree,DecisionTreeClassifier_full,DecisionTreeClassifier_rfecv_selected,full,rfecv_selected,balanced_accuracy,0.721,0.746,-0.025,0.04,1,4,0
daily,Decision Tree,DecisionTreeClassifier_full,DecisionTreeClassifier_select_from_model,full,select_from_model,balanced_accuracy,0.721,0.72,0.001,0.014,2,1,2
daily,Decision Tree,DecisionTreeClassifier_all_candidates,DecisionTreeClassifier_positive_permutation,all_candidates,positive_permutation,balanced_accuracy,0.724,0.724,0.0,0.0,0,0,5
daily,Decision Tree,DecisionTreeClassifier_all_candidates,DecisionTreeClassifier_rfecv_selected,all_candidates,rfecv_selected,balanced_accuracy,0.724,0.746,-0.022,0.043,2,3,0
daily,Decision Tree,DecisionTreeClassifier_all_candidates,DecisionTreeClassifier_select_from_model,all_candidates,select_from_model,balanced_accuracy,0.724,0.72,0.004,0.008,1,0,4
daily,Decision Tree,DecisionTreeClassifier_positive_permutation,DecisionTreeClassifier_rfecv_selected,positive_permutation,rfecv_selected,balanced_accuracy,0.724,0.746,-0.022,0.043,2,3,0
daily,Decision Tree,DecisionTreeClassifier_positive_permutation,DecisionTreeClassifier_select_from_model,positive_permutation,select_from_model,balanced_accuracy,0.724,0.72,0.004,0.008,1,0,4
daily,Decision Tree,DecisionTreeClassifier_rfecv_selected,DecisionTreeClassifier_select_from_model,rfecv_selected,select_from_model,balanced_accuracy,0.746,0.72,0.026,0.039,3,2,0
