sample_type,classifier,name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
daily,Logistic Regression,LogisticRegression_manual_full_remove_inactive_evening,manual_full,ablation,45,0.827,0.069,0.831,0.066,0.803,0.063,0.774,0.086,0.726,0.107,0.836,0.079
daily,Logistic Regression,LogisticRegression_manual_full_remove_longest_inactivity,manual_full,ablation,45,0.801,0.073,0.809,0.066,0.781,0.068,0.747,0.085,0.688,0.105,0.829,0.085
daily,Logistic Regression,LogisticRegression_manual_full_remove_inactive_ratio,manual_full,ablation,45,0.826,0.068,0.831,0.067,0.807,0.064,0.773,0.087,0.721,0.102,0.842,0.089
daily,Logistic Regression,LogisticRegression_automatic_all_candidates_remove_inactive_morning,automatic_all_candidates,ablation,17,0.809,0.055,0.817,0.053,0.816,0.086,0.755,0.069,0.693,0.086,0.836,0.07
daily,Logistic Regression,LogisticRegression_automatic_all_candidates_remove_inactive_afternoon,automatic_all_candidates,ablation,17,0.808,0.057,0.817,0.055,0.815,0.086,0.754,0.072,0.69,0.09,0.839,0.071
daily,Logistic Regression,LogisticRegression_automatic_all_candidates_remove_inactive_evening,automatic_all_candidates,ablation,17,0.806,0.059,0.815,0.056,0.812,0.092,0.753,0.072,0.688,0.093,0.839,0.064
daily,Logistic Regression,LogisticRegression_automatic_all_candidates_remove_longest_inactivity,automatic_all_candidates,ablation,17,0.761,0.077,0.777,0.069,0.77,0.11,0.709,0.086,0.632,0.102,0.821,0.092
daily,Logistic Regression,LogisticRegression_automatic_all_candidates_remove_inactive_ratio,automatic_all_candidates,ablation,17,0.808,0.055,0.816,0.053,0.815,0.087,0.755,0.068,0.691,0.087,0.839,0.064
daily,Logistic Regression,LogisticRegression_automatic_positive_permutation_remove_inactive_morning,automatic_positive_permutation,ablation,15,0.817,0.052,0.826,0.052,0.811,0.088,0.765,0.067,0.699,0.08,0.851,0.072
daily,Logistic Regression,LogisticRegression_automatic_positive_permutation_remove_inactive_afternoon,automatic_positive_permutation,ablation,15,0.814,0.052,0.824,0.05,0.813,0.086,0.762,0.066,0.698,0.083,0.848,0.069
daily,Logistic Regression,LogisticRegression_automatic_positive_permutation_remove_inactive_evening,automatic_positive_permutation,ablation,15,0.812,0.053,0.822,0.052,0.808,0.091,0.761,0.066,0.694,0.084,0.849,0.068
daily,Logistic Regression,LogisticRegression_automatic_positive_permutation_remove_longest_inactivity,automatic_positive_permutation,ablation,15,0.765,0.084,0.782,0.074,0.76,0.109,0.715,0.093,0.639,0.115,0.827,0.087
daily,Logistic Regression,LogisticRegression_automatic_positive_permutation_remove_inactive_ratio,automatic_positive_permutation,ablation,15,0.815,0.053,0.825,0.052,0.813,0.086,0.764,0.068,0.698,0.082,0.851,0.072
daily,Logistic Regression,LogisticRegression_automatic_rfecv_selected_remove_inactive_morning,automatic_rfecv_selected,ablation,14,0.814,0.059,0.822,0.058,0.816,0.087,0.761,0.074,0.7,0.09,0.842,0.074
daily,Logistic Regression,LogisticRegression_automatic_rfecv_selected_remove_inactive_afternoon,automatic_rfecv_selected,ablation,14,0.817,0.053,0.825,0.051,0.815,0.086,0.765,0.066,0.701,0.084,0.849,0.068
daily,Logistic Regression,LogisticRegression_automatic_rfecv_selected_remove_inactive_evening,automatic_rfecv_selected,ablation,14,0.81,0.059,0.819,0.057,0.813,0.092,0.758,0.072,0.692,0.089,0.845,0.067
daily,Logistic Regression,LogisticRegression_automatic_rfecv_selected_remove_longest_inactivity,automatic_rfecv_selected,ablation,14,0.766,0.078,0.783,0.071,0.771,0.106,0.715,0.086,0.638,0.099,0.829,0.099
daily,Logistic Regression,LogisticRegression_automatic_rfecv_selected_remove_inactive_ratio,automatic_rfecv_selected,ablation,14,0.812,0.054,0.82,0.052,0.816,0.087,0.759,0.068,0.697,0.087,0.839,0.064
daily,Decision Tree,DecisionTreeClassifier_manual_base_remove_longest_inactivity,manual_base,ablation,5,0.736,0.042,0.74,0.041,0.571,0.055,0.67,0.064,0.602,0.066,0.774,0.131
daily,Decision Tree,DecisionTreeClassifier_manual_base_remove_inactive_ratio,manual_base,ablation,5,0.744,0.04,0.776,0.034,0.584,0.069,0.71,0.04,0.593,0.049,0.89,0.037
daily,Decision Tree,DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_morning,manual_six_hour_bins,ablation,7,0.691,0.063,0.712,0.055,0.528,0.091,0.641,0.073,0.546,0.081,0.783,0.061
daily,Decision Tree,DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_afternoon,manual_six_hour_bins,ablation,7,0.703,0.046,0.717,0.046,0.54,0.075,0.644,0.068,0.555,0.067,0.77,0.079
daily,Decision Tree,DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_evening,manual_six_hour_bins,ablation,7,0.762,0.031,0.769,0.033,0.609,0.06,0.702,0.047,0.626,0.042,0.8,0.061
daily,Decision Tree,DecisionTreeClassifier_manual_full_remove_is_constant_activity,manual_full,ablation,45,0.725,0.043,0.721,0.05,0.556,0.073,0.644,0.077,0.589,0.077,0.722,0.123
daily,Decision Tree,DecisionTreeClassifier_manual_full_remove_min,manual_full,ablation,45,0.721,0.041,0.717,0.046,0.555,0.073,0.641,0.073,0.586,0.076,0.72,0.118
daily,Decision Tree,DecisionTreeClassifier_manual_full_remove_inactive_morning,manual_full,ablation,45,0.725,0.043,0.721,0.05,0.556,0.073,0.644,0.077,0.589,0.077,0.722,0.123
daily,Decision Tree,DecisionTreeClassifier_manual_full_remove_inactive_afternoon,manual_full,ablation,45,0.725,0.043,0.721,0.05,0.556,0.073,0.644,0.077,0.589,0.077,0.722,0.123
daily,Decision Tree,DecisionTreeClassifier_manual_full_remove_inactive_evening,manual_full,ablation,45,0.725,0.043,0.721,0.05,0.556,0.073,0.644,0.077,0.589,0.077,0.722,0.123
daily,Decision Tree,DecisionTreeClassifier_manual_full_remove_longest_inactivity,manual_full,ablation,45,0.725,0.043,0.721,0.05,0.556,0.073,0.644,0.077,0.589,0.077,0.722,0.123
daily,Decision Tree,DecisionTreeClassifier_manual_full_remove_inactive_ratio,manual_full,ablation,45,0.765,0.05,0.777,0.048,0.597,0.061,0.713,0.057,0.627,0.062,0.83,0.063
daily,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_remove_inactive_morning,automatic_all_candidates,ablation,17,0.72,0.037,0.724,0.053,0.548,0.062,0.649,0.079,0.572,0.055,0.751,0.121
daily,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_remove_inactive_afternoon,automatic_all_candidates,ablation,17,0.72,0.037,0.724,0.053,0.548,0.062,0.649,0.079,0.572,0.055,0.751,0.121
daily,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_remove_inactive_evening,automatic_all_candidates,ablation,17,0.72,0.037,0.724,0.053,0.548,0.062,0.649,0.079,0.572,0.055,0.751,0.121
daily,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_remove_longest_inactivity,automatic_all_candidates,ablation,17,0.72,0.037,0.724,0.053,0.548,0.062,0.649,0.079,0.572,0.055,0.751,0.121
daily,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_remove_inactive_ratio,automatic_all_candidates,ablation,17,0.764,0.05,0.776,0.048,0.599,0.062,0.712,0.056,0.626,0.062,0.827,0.059
daily,Decision Tree,DecisionTreeClassifier_automatic_positive_permutation_remove_inactive_ratio,automatic_positive_permutation,ablation,3,0.767,0.052,0.777,0.048,0.603,0.065,0.713,0.056,0.633,0.063,0.821,0.067
