sample_type,classifier,name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
daily,Logistic Regression,LogisticRegression_manual_hourly_activity_baseline,manual_hourly_activity,inactivity_baseline,24,0.655,0.045,0.687,0.051,0.585,0.088,0.618,0.057,0.506,0.049,0.795,0.081
daily,Logistic Regression,LogisticRegression_manual_hourly_activity_shuffled_y,manual_hourly_activity,shuffled_y,24,0.491,0.022,0.499,0.018,0.38,0.032,0.412,0.06,0.348,0.022,0.522,0.138
daily,Logistic Regression,LogisticRegression_manual_hourly_activity_inactivity_reduced,manual_hourly_activity,inactivity_reduced,24,0.655,0.045,0.687,0.051,0.585,0.088,0.618,0.057,0.506,0.049,0.795,0.081
daily,Logistic Regression,LogisticRegression_manual_six_hour_bins_baseline,manual_six_hour_bins,inactivity_baseline,8,0.71,0.046,0.719,0.048,0.62,0.109,0.644,0.061,0.569,0.068,0.747,0.066
daily,Logistic Regression,LogisticRegression_manual_six_hour_bins_shuffled_y,manual_six_hour_bins,shuffled_y,8,0.488,0.059,0.491,0.04,0.375,0.019,0.409,0.023,0.351,0.043,0.5,0.034
daily,Logistic Regression,LogisticRegression_manual_six_hour_bins_inactivity_reduced,manual_six_hour_bins,inactivity_reduced,5,0.728,0.051,0.739,0.052,0.527,0.118,0.666,0.072,0.587,0.084,0.775,0.065
daily,Logistic Regression,LogisticRegression_manual_full_baseline,manual_full,inactivity_baseline,46,0.826,0.068,0.831,0.067,0.807,0.064,0.773,0.087,0.721,0.102,0.842,0.089
daily,Logistic Regression,LogisticRegression_manual_full_shuffled_y,manual_full,shuffled_y,46,0.531,0.029,0.532,0.031,0.408,0.046,0.446,0.038,0.382,0.028,0.536,0.055
daily,Logistic Regression,LogisticRegression_manual_full_inactivity_reduced,manual_full,inactivity_reduced,39,0.795,0.094,0.804,0.083,0.765,0.05,0.743,0.102,0.685,0.122,0.826,0.093
daily,Logistic Regression,LogisticRegression_automatic_all_candidates_baseline,automatic_all_candidates,inactivity_baseline,18,0.807,0.054,0.816,0.052,0.815,0.087,0.754,0.067,0.689,0.085,0.839,0.064
daily,Logistic Regression,LogisticRegression_automatic_all_candidates_shuffled_y,automatic_all_candidates,shuffled_y,18,0.534,0.032,0.54,0.03,0.39,0.024,0.459,0.036,0.39,0.03,0.561,0.055
daily,Logistic Regression,LogisticRegression_automatic_all_candidates_inactivity_reduced,automatic_all_candidates,inactivity_reduced,13,0.769,0.086,0.787,0.078,0.746,0.1,0.72,0.095,0.642,0.115,0.837,0.098
daily,Logistic Regression,LogisticRegression_automatic_positive_permutation_baseline,automatic_positive_permutation,inactivity_baseline,16,0.815,0.053,0.825,0.052,0.813,0.086,0.764,0.068,0.698,0.082,0.851,0.072
daily,Logistic Regression,LogisticRegression_automatic_positive_permutation_shuffled_y,automatic_positive_permutation,shuffled_y,16,0.473,0.058,0.478,0.041,0.346,0.015,0.399,0.026,0.338,0.039,0.494,0.053
daily,Logistic Regression,LogisticRegression_automatic_positive_permutation_inactivity_reduced,automatic_positive_permutation,inactivity_reduced,11,0.778,0.079,0.796,0.073,0.735,0.097,0.73,0.091,0.652,0.11,0.844,0.1
daily,Logistic Regression,LogisticRegression_automatic_rfecv_selected_baseline,automatic_rfecv_selected,inactivity_baseline,15,0.812,0.054,0.82,0.052,0.816,0.087,0.759,0.068,0.697,0.087,0.839,0.064
daily,Logistic Regression,LogisticRegression_automatic_rfecv_selected_shuffled_y,automatic_rfecv_selected,shuffled_y,15,0.541,0.033,0.545,0.036,0.395,0.025,0.461,0.046,0.394,0.033,0.561,0.077
daily,Logistic Regression,LogisticRegression_automatic_rfecv_selected_inactivity_reduced,automatic_rfecv_selected,inactivity_reduced,10,0.77,0.081,0.788,0.073,0.745,0.098,0.721,0.089,0.641,0.106,0.84,0.093
daily,Decision Tree,DecisionTreeClassifier_manual_base_baseline,manual_base,inactivity_baseline,6,0.735,0.04,0.736,0.042,0.569,0.053,0.665,0.066,0.604,0.069,0.764,0.144
daily,Decision Tree,DecisionTreeClassifier_manual_base_shuffled_y,manual_base,shuffled_y,6,0.5,0.079,0.482,0.009,0.35,0.018,0.316,0.164,0.297,0.068,0.418,0.282
daily,Decision Tree,DecisionTreeClassifier_manual_base_inactivity_reduced,manual_base,inactivity_reduced,4,0.744,0.04,0.776,0.034,0.585,0.069,0.71,0.04,0.593,0.049,0.89,0.037
daily,Decision Tree,DecisionTreeClassifier_manual_activity_rhythm_baseline,manual_activity_rhythm,inactivity_baseline,2,0.577,0.084,0.605,0.079,0.41,0.048,0.534,0.076,0.443,0.077,0.69,0.127
daily,Decision Tree,DecisionTreeClassifier_manual_activity_rhythm_shuffled_y,manual_activity_rhythm,shuffled_y,2,0.571,0.09,0.514,0.019,0.365,0.023,0.315,0.117,0.389,0.041,0.34,0.283
daily,Decision Tree,DecisionTreeClassifier_manual_activity_rhythm_inactivity_reduced,manual_activity_rhythm,inactivity_reduced,2,0.577,0.084,0.605,0.079,0.41,0.048,0.534,0.076,0.443,0.077,0.69,0.127
daily,Decision Tree,DecisionTreeClassifier_manual_hourly_activity_baseline,manual_hourly_activity,inactivity_baseline,24,0.657,0.027,0.686,0.031,0.483,0.044,0.611,0.041,0.511,0.047,0.773,0.091
daily,Decision Tree,DecisionTreeClassifier_manual_hourly_activity_shuffled_y,manual_hourly_activity,shuffled_y,24,0.457,0.065,0.48,0.029,0.343,0.014,0.384,0.107,0.332,0.022,0.54,0.242
daily,Decision Tree,DecisionTreeClassifier_manual_hourly_activity_inactivity_reduced,manual_hourly_activity,inactivity_reduced,24,0.657,0.027,0.686,0.031,0.483,0.044,0.611,0.041,0.511,0.047,0.773,0.091
daily,Decision Tree,DecisionTreeClassifier_manual_six_hour_bins_baseline,manual_six_hour_bins,inactivity_baseline,8,0.704,0.045,0.719,0.043,0.534,0.081,0.647,0.064,0.557,0.066,0.777,0.069
daily,Decision Tree,DecisionTreeClassifier_manual_six_hour_bins_shuffled_y,manual_six_hour_bins,shuffled_y,8,0.448,0.075,0.494,0.024,0.348,0.021,0.416,0.136,0.335,0.044,0.645,0.287
daily,Decision Tree,DecisionTreeClassifier_manual_six_hour_bins_inactivity_reduced,manual_six_hour_bins,inactivity_reduced,5,0.762,0.031,0.769,0.033,0.609,0.06,0.702,0.047,0.626,0.042,0.8,0.061
daily,Decision Tree,DecisionTreeClassifier_manual_full_baseline,manual_full,inactivity_baseline,46,0.725,0.043,0.721,0.05,0.556,0.073,0.644,0.077,0.589,0.077,0.722,0.123
daily,Decision Tree,DecisionTreeClassifier_manual_full_shuffled_y,manual_full,shuffled_y,46,0.521,0.069,0.519,0.025,0.37,0.015,0.399,0.11,0.369,0.021,0.505,0.234
daily,Decision Tree,DecisionTreeClassifier_manual_full_inactivity_reduced,manual_full,inactivity_reduced,39,0.762,0.051,0.774,0.047,0.596,0.061,0.71,0.056,0.624,0.062,0.827,0.059
daily,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_baseline,automatic_all_candidates,inactivity_baseline,18,0.72,0.037,0.724,0.053,0.548,0.062,0.649,0.079,0.572,0.055,0.751,0.121
daily,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_shuffled_y,automatic_all_candidates,shuffled_y,18,0.539,0.079,0.492,0.035,0.354,0.019,0.308,0.095,0.349,0.053,0.323,0.171
daily,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_inactivity_reduced,automatic_all_candidates,inactivity_reduced,13,0.764,0.05,0.776,0.048,0.599,0.062,0.712,0.056,0.626,0.062,0.827,0.059
daily,Decision Tree,DecisionTreeClassifier_automatic_positive_permutation_baseline,automatic_positive_permutation,inactivity_baseline,4,0.72,0.037,0.724,0.053,0.55,0.064,0.649,0.079,0.572,0.055,0.751,0.121
daily,Decision Tree,DecisionTreeClassifier_automatic_positive_permutation_shuffled_y,automatic_positive_permutation,shuffled_y,4,0.589,0.101,0.505,0.021,0.357,0.018,0.204,0.142,0.464,0.123,0.216,0.257
daily,Decision Tree,DecisionTreeClassifier_automatic_positive_permutation_inactivity_reduced,automatic_positive_permutation,inactivity_reduced,3,0.767,0.052,0.777,0.048,0.603,0.065,0.713,0.056,0.633,0.063,0.821,0.067
daily,Decision Tree,DecisionTreeClassifier_automatic_rfecv_selected_baseline,automatic_rfecv_selected,inactivity_baseline,1,0.752,0.045,0.746,0.052,0.575,0.069,0.672,0.075,0.625,0.075,0.732,0.097
daily,Decision Tree,DecisionTreeClassifier_automatic_rfecv_selected_shuffled_y,automatic_rfecv_selected,shuffled_y,1,0.451,0.087,0.492,0.021,0.35,0.025,0.431,0.092,0.349,0.022,0.645,0.273
