sample_type,classifier,feature,nan_count,nan_pct,inf_count,inactive_count,zero_proportion,variance,std_dev,is_constant,issues
daily,Decision Tree,mean_activity_15,0,0.0,0,71,0.076,71881.888,268.108,False,OK
daily,Decision Tree,mean_activity_16,0,0.0,0,85,0.091,70993.212,266.446,False,OK
daily,Decision Tree,mean_activity_17,0,0.0,0,94,0.101,69709.05,264.025,False,OK
daily,Decision Tree,mean_activity_18,0,0.0,0,100,0.107,70460.489,265.444,False,OK
daily,Decision Tree,mean_activity_19,0,0.0,0,101,0.108,56115.636,236.887,False,OK
daily,Decision Tree,mean_activity_20,0,0.0,0,101,0.108,68311.806,261.365,False,OK
daily,Decision Tree,mean_activity_21,0,0.0,0,97,0.104,41232.03,203.057,False,OK
daily,Decision Tree,mean_activity_22,0,0.0,0,93,0.099,33495.247,183.017,False,OK
daily,Decision Tree,mean_activity_23,0,0.0,0,107,0.114,34526.72,185.814,False,OK
daily,Decision Tree,inactive_ratio,0,0.0,0,58,0.062,0.054,0.232,False,OK
daily,Decision Tree,longest_inactivity,0,0.0,0,58,0.062,49399.397,222.26,False,OK
daily,Decision Tree,is_constant_activity,0,0.0,0,927,0.991,0.008,0.092,False,Mostly zero
daily,Decision Tree,12_hour_day_activity,0,0.0,0,9,0.01,37161.053,192.772,False,OK
daily,Decision Tree,12_hour_night_activity,0,0.0,0,35,0.037,7787.739,88.248,False,OK
daily,Decision Tree,day_night_ratio,0,0.0,0,44,0.047,39371.227,198.422,False,OK
daily,Decision Tree,mean_absolute_change_activity,0,0.0,0,8,0.009,4146.093,64.39,False,OK
daily,Decision Tree,IV,8,0.009,0,0,0.0,0.241,0.491,False,NaNs
daily,Decision Tree,RA,0,0.0,0,8,0.009,0.047,0.218,False,OK
daily,Decision Tree,activity_night,0,0.0,0,65,0.07,4418.453,66.471,False,OK
daily,Decision Tree,activity_morning,0,0.0,0,32,0.034,29008.944,170.32,False,OK
daily,Decision Tree,activity_afternoon,0,0.0,0,28,0.03,47904.29,218.87,False,OK
daily,Decision Tree,activity_evening,0,0.0,0,51,0.055,30887.898,175.75,False,OK
daily,Decision Tree,inactive_night,0,0.0,0,94,0.101,0.096,0.309,False,OK
daily,Decision Tree,inactive_morning,0,0.0,0,93,0.099,0.088,0.297,False,OK
daily,Decision Tree,inactive_afternoon,0,0.0,0,88,0.094,0.088,0.297,False,OK
daily,Decision Tree,inactive_evening,0,0.0,0,87,0.093,0.096,0.311,False,OK
daily,Decision Tree,person_id,0,0.0,0,0,0.0,76.881,8.768,False,OK
