sample_type,classifier,feature_set,feature,zero_proportion,corr_with_inactive_ratio,is_high_inactive,is_high_corr_with_inactivity,is_inactivity_related
daily,Random Forest,manual_full,mean_absolute_change_activity,0.009,-0.351,False,False,False
daily,Random Forest,manual_full,RA,0.009,0.499,False,False,False
daily,Random Forest,manual_full,mean,0.0,-0.352,False,False,False
daily,Random Forest,manual_full,max,0.0,-0.213,False,False,False
daily,Random Forest,manual_full,IV,0.0,0.278,False,False,False
daily,Random Forest,automatic_all_candidates,inactive_night,0.101,0.656,False,False,False
daily,Random Forest,automatic_all_candidates,inactive_morning,0.099,0.769,False,True,True
daily,Random Forest,automatic_all_candidates,inactive_afternoon,0.094,0.823,False,True,True
daily,Random Forest,automatic_all_candidates,inactive_evening,0.093,0.817,False,True,True
daily,Random Forest,automatic_all_candidates,activity_night,0.07,-0.179,False,False,False
daily,Random Forest,automatic_all_candidates,inactive_ratio,0.062,,False,False,False
daily,Random Forest,automatic_all_candidates,longest_inactivity,0.062,0.758,False,True,True
daily,Random Forest,automatic_all_candidates,activity_evening,0.055,-0.328,False,False,False
daily,Random Forest,automatic_all_candidates,day_night_ratio,0.047,0.093,False,False,False
daily,Random Forest,automatic_all_candidates,12_hour_night_activity,0.037,-0.351,False,False,False
daily,Random Forest,automatic_all_candidates,activity_morning,0.034,-0.279,False,False,False
daily,Random Forest,automatic_all_candidates,activity_afternoon,0.03,-0.307,False,False,False
daily,Random Forest,automatic_all_candidates,12_hour_day_activity,0.01,-0.317,False,False,False
daily,Random Forest,automatic_all_candidates,sd,0.009,-0.276,False,False,False
daily,Random Forest,automatic_all_candidates,RA,0.009,0.499,False,False,False
daily,Random Forest,automatic_all_candidates,mean_absolute_change_activity,0.009,-0.351,False,False,False
daily,Random Forest,automatic_all_candidates,mean,0.0,-0.352,False,False,False
daily,Random Forest,automatic_all_candidates,IV,0.0,0.278,False,False,False
daily,Random Forest,automatic_positive_permutation,longest_inactivity,0.062,0.758,False,True,True
daily,Random Forest,automatic_positive_permutation,12_hour_night_activity,0.037,-0.351,False,False,False
daily,Random Forest,automatic_positive_permutation,sd,0.009,-0.276,False,False,False
daily,Random Forest,automatic_positive_permutation,RA,0.009,0.499,False,False,False
daily,Random Forest,automatic_rfecv_selected,inactive_morning,0.099,0.769,False,True,True
daily,Random Forest,automatic_rfecv_selected,inactive_evening,0.093,0.817,False,True,True
daily,Random Forest,automatic_rfecv_selected,inactive_ratio,0.062,,False,False,False
daily,Random Forest,automatic_rfecv_selected,longest_inactivity,0.062,0.758,False,True,True
daily,Random Forest,automatic_rfecv_selected,activity_evening,0.055,-0.328,False,False,False
daily,Random Forest,automatic_rfecv_selected,day_night_ratio,0.047,0.093,False,False,False
daily,Random Forest,automatic_rfecv_selected,12_hour_night_activity,0.037,-0.351,False,False,False
daily,Random Forest,automatic_rfecv_selected,activity_afternoon,0.03,-0.307,False,False,False
daily,Random Forest,automatic_rfecv_selected,12_hour_day_activity,0.01,-0.317,False,False,False
daily,Random Forest,automatic_rfecv_selected,RA,0.009,0.499,False,False,False
daily,Random Forest,automatic_rfecv_selected,sd,0.009,-0.276,False,False,False
daily,Random Forest,automatic_rfecv_selected,mean_absolute_change_activity,0.009,-0.351,False,False,False
daily,Random Forest,automatic_rfecv_selected,mean,0.0,-0.352,False,False,False
daily,Logistic Regression,manual_base,longest_inactivity,0.062,0.758,False,True,True
daily,Logistic Regression,manual_base,inactive_ratio,0.062,,False,False,False
