feature,importance,importance_std
12_hour_night_activity,0.007142808922879627,0.005630527291388494
sd,0.002207547090776929,0.012093633637926635
RA,0.0017025289504422323,0.006674002553450738
longest_inactivity,0.0006753893029814303,0.009223552436273494
mean_absolute_change_activity,-0.0009285173805440005,0.004766354366522279
IV,-0.0014795135448609554,0.003835720461000336
activity_night,-0.0024588672838077837,0.004107202268400633
activity_morning,-0.0031394563718187807,0.0028161597051727435
inactive_morning,-0.0031960771449878987,0.007588988925212075
activity_afternoon,-0.0032164330025668056,0.005187611476956795
12_hour_day_activity,-0.0035425546873335614,0.0044482126056673765
inactive_night,-0.004015931082607678,0.007669759380954127
inactive_afternoon,-0.005868795957796873,0.00743536623955819
activity_evening,-0.006574604672676429,0.0073071783407544924
inactive_evening,-0.007484830699991421,0.007690728859748403
day_night_ratio,-0.007643653536909195,0.010702209259012798
mean,-0.008963248933986197,0.010623082884925335
inactive_ratio,-0.01443739898656106,0.009653330820679805
