feature_set,feature,zero_proportion,corr_with_inactive_ratio,is_high_inactive,is_high_corr_with_inactivity,is_inactivity_related
manual_base,longest_inactivity,0.06203208556149733,0.7576014789436529,False,True,True
manual_base,inactive_ratio,0.06203208556149733,,False,False,False
manual_base,day_night_ratio,0.047058823529411764,0.09254813058424052,False,False,False
manual_base,sd,0.008556149732620321,-0.27603739286574464,False,False,False
manual_base,mean_absolute_change_activity,0.008556149732620321,-0.3505525745695553,False,False,False
manual_base,mean,0.0,-0.35184184212596303,False,False,False
manual_activity_rhythm,RA,0.008556149732620321,0.49900156705643933,False,False,False
manual_activity_rhythm,IV,0.0,0.27823961883636367,False,False,False
manual_hourly_activity,mean_activity_23,0.1144385026737968,-0.2515562676606816,False,False,False
manual_hourly_activity,mean_activity_2,0.11336898395721925,-0.12348172112284912,False,False,False
manual_hourly_activity,mean_activity_1,0.10909090909090909,-0.12288971346165728,False,False,False
manual_hourly_activity,mean_activity_19,0.10802139037433155,-0.2766417865275383,False,False,False
manual_hourly_activity,mean_activity_20,0.10802139037433155,-0.22525271797440027,False,False,False
manual_hourly_activity,mean_activity_18,0.10695187165775401,-0.2541856983126988,False,False,False
manual_hourly_activity,mean_activity_3,0.10695187165775401,-0.11096723508486965,False,False,False
manual_hourly_activity,mean_activity_21,0.10374331550802139,-0.2697385093052479,False,False,False
manual_hourly_activity,mean_activity_0,0.10160427807486631,-0.15430468343387013,False,False,False
manual_hourly_activity,mean_activity_17,0.10053475935828877,-0.2433237888286093,False,False,False
manual_hourly_activity,mean_activity_22,0.09946524064171124,-0.28659539116136473,False,False,False
manual_hourly_activity,mean_activity_4,0.09946524064171124,-0.09649877756222981,False,False,False
manual_hourly_activity,mean_activity_6,0.09197860962566845,-0.18286442661775523,False,False,False
manual_hourly_activity,mean_activity_5,0.09090909090909091,-0.12342820081723657,False,False,False
manual_hourly_activity,mean_activity_16,0.09090909090909091,-0.27037995378153357,False,False,False
manual_hourly_activity,mean_activity_7,0.07807486631016043,-0.24079207122495963,False,False,False
manual_hourly_activity,mean_activity_14,0.07700534759358289,-0.24268317199607925,False,False,False
manual_hourly_activity,mean_activity_15,0.07593582887700535,-0.26112163256979043,False,False,False
manual_hourly_activity,mean_activity_13,0.07379679144385026,-0.25965154077387886,False,False,False
manual_hourly_activity,mean_activity_12,0.06737967914438503,-0.21431168388828184,False,False,False
manual_hourly_activity,mean_activity_10,0.06417112299465241,-0.20462536132595724,False,False,False
manual_hourly_activity,mean_activity_8,0.06310160427807486,-0.20808285873208832,False,False,False
manual_hourly_activity,mean_activity_9,0.06203208556149733,-0.18943780005097202,False,False,False
manual_hourly_activity,mean_activity_11,0.059893048128342244,-0.1892554428768158,False,False,False
manual_six_hour_bins,inactive_night,0.10053475935828877,0.6559961325144129,False,False,False
manual_six_hour_bins,inactive_morning,0.09946524064171124,0.7690852604928424,False,True,True
manual_six_hour_bins,inactive_afternoon,0.09411764705882353,0.8234098542835454,False,True,True
manual_six_hour_bins,inactive_evening,0.09304812834224599,0.8174582796653244,False,True,True
manual_six_hour_bins,activity_night,0.06951871657754011,-0.17929537525841777,False,False,False
manual_six_hour_bins,activity_evening,0.05454545454545454,-0.3279713847663551,False,False,False
manual_six_hour_bins,activity_morning,0.034224598930481284,-0.27862308307534916,False,False,False
manual_six_hour_bins,activity_afternoon,0.029946524064171122,-0.30664644153079734,False,False,False
