feature,importance,importance_std
IS,0.04885714285714288,0.12087964160726998
daily_mean_activity_variance,0.04514285714285715,0.052974077004390746
sd,0.030880952380952398,0.038753026361230125
activity_afternoon,0.022761904761904768,0.02399251111428649
RA,0.01814285714285716,0.03488903693080659
mean,0.016571428571428577,0.022713836473544906
activity_evening,0.012047619047619054,0.01653313857686478
12_hour_night_activity,0.011095238095238102,0.028073841731568558
inactive_afternoon,0.01054761904761906,0.03697665807817666
longest_inactivity,0.007333333333333342,0.07006792339500927
activity_night,0.0020238095238095306,0.04327999071594035
day_night_ratio,-0.00357142857142857,0.05819955505514436
IV,-0.0043809523809523795,0.05475170712504384
inactive_ratio,-0.005357142857142861,0.03549036948991391
inactive_evening,-0.006714285714285712,0.03955621161778539
inactive_night,-0.006785714285714288,0.033512486250558575
inactive_morning,-0.018214285714285718,0.05351783033032361
12_hour_day_activity,-0.018214285714285718,0.05351783033032361
activity_morning,-0.018499999999999996,0.05325645500782042
mean_absolute_change_activity,-0.022142857142857145,0.057830681779675056
