feature,selected,ranking
sd,True,1
12_hour_night_activity,True,1
mean_absolute_change_activity,True,1
activity_night,True,1
12_hour_day_activity,False,2
activity_afternoon,False,3
activity_morning,False,4
activity_evening,False,5
inactive_night,False,6
inactive_morning,False,7
inactive_ratio,False,8
inactive_evening,False,9
day_night_ratio,False,10
inactive_afternoon,False,11
daily_mean_activity_variance,False,12
IV,False,13
RA,False,14
longest_inactivity,False,15
IS,False,16
mean,False,17
